entity,Does a <entity> fly.,Can a <entity> fly.,A <entity> flys.,Is a <entity> capable of flying.,A <entity> is capable of flying.,A <entity> is a flying.
flamingo,1,1,1,1,1,1
turkey,1,1,1,1,1,1
swan,1,1,1,1,1,1
sparrow,1,1,1,1,1,1
songbird,1,1,1,1,1,1
bird,1,1,1,1,1,1
eagle,1,1,1,1,1,1
duck,1,1,1,1,1,1
chicken,1,1,1,1,1,1
crow,1,1,1,1,1,1
dove,1,1,1,1,1,1
hen,1,1,1,1,1,1
jay,1,1,1,1,1,1
owl,1,1,1,1,1,1
parrot,1,1,1,1,1,1
peacock,1,1,1,1,1,1
pigeon,1,1,1,1,1,1
hummingbird,1,1,1,1,1,1
bat,1,1,1,1,1,1
falcon,1,1,1,1,1,1
goose,1,1,1,1,1,1
stork,1,1,1,1,1,1
gull,1,1,1,1,1,1
seabird,1,1,1,1,1,1
albatrosses,1,1,1,1,1,1
macaw,1,1,1,1,1,1
hornbill,1,1,1,1,1,1
vulture,1,1,1,1,1,1
wader,1,1,1,1,1,1
avocet,1,1,1,1,1,1
brambling,1,1,1,1,1,1
bulbul,1,1,1,1,1,1
bullfinch,1,1,1,1,1,1
bushtit,1,1,1,1,1,1
buzzard,1,1,1,1,1,1
canary,1,1,1,1,1,1
cockatoo,1,1,1,1,1,1
condor,1,1,1,1,1,1
cotinga,1,1,1,1,1,1
cowbird,1,1,1,1,1,1
eider,1,1,1,1,1,1
finch,1,1,1,1,1,1
goldcrest,1,1,1,1,1,1
grackle,1,1,1,1,1,1
hawk,1,1,1,1,1,1
heron,1,1,1,1,1,1
lark,1,1,1,1,1,1
pelican,1,1,1,1,1,1
skylark,1,1,1,1,1,1
