,question,label
0,does a dog fly.,No
1,can a dog fly.,No
2,a dog flys.,No
3,is a dog capable of flying.,No
4,a dog is capable of flying.,No
5,a dog is a flying.,No
6,does a cat fly.,No
7,can a cat fly.,No
8,a cat flys.,No
9,is a cat capable of flying.,No
10,a cat is capable of flying.,No
11,a cat is a flying.,No
12,does a fox fly.,No
13,can a fox fly.,No
14,a fox flys.,No
15,is a fox capable of flying.,No
16,a fox is capable of flying.,No
17,a fox is a flying.,No
18,does a wolf fly.,No
19,can a wolf fly.,No
20,a wolf flys.,No
21,is a wolf capable of flying.,No
22,a wolf is capable of flying.,No
23,a wolf is a flying.,No
24,does a lion fly.,No
25,can a lion fly.,No
26,a lion flys.,No
27,is a lion capable of flying.,No
28,a lion is capable of flying.,No
29,a lion is a flying.,No
30,does a zebra fly.,No
31,can a zebra fly.,No
32,a zebra flys.,No
33,is a zebra capable of flying.,No
34,a zebra is capable of flying.,No
35,a zebra is a flying.,No
36,does a tiger fly.,No
37,can a tiger fly.,No
38,a tiger flys.,No
39,is a tiger capable of flying.,No
40,a tiger is capable of flying.,No
41,a tiger is a flying.,No
42,does a cow fly.,No
43,can a cow fly.,No
44,a cow flys.,No
45,is a cow capable of flying.,No
46,a cow is capable of flying.,No
47,a cow is a flying.,No
48,does a frog fly.,No
49,can a frog fly.,No
50,a frog flys.,No
51,is a frog capable of flying.,No
52,a frog is capable of flying.,No
53,a frog is a flying.,No
54,does a deer fly.,No
55,can a deer fly.,No
56,a deer flys.,No
57,is a deer capable of flying.,No
58,a deer is capable of flying.,No
59,a deer is a flying.,No
60,does a pig fly.,No
61,can a pig fly.,No
62,a pig flys.,No
63,is a pig capable of flying.,No
64,a pig is capable of flying.,No
65,a pig is a flying.,No
66,does a horse fly.,No
67,can a horse fly.,No
68,a horse flys.,No
69,is a horse capable of flying.,No
70,a horse is capable of flying.,No
71,a horse is a flying.,No
72,does a camel fly.,No
73,can a camel fly.,No
74,a camel flys.,No
75,is a camel capable of flying.,No
76,a camel is capable of flying.,No
77,a camel is a flying.,No
78,does a bull fly.,No
79,can a bull fly.,No
80,a bull flys.,No
81,is a bull capable of flying.,No
82,a bull is capable of flying.,No
83,a bull is a flying.,No
84,does a shark fly.,No
85,can a shark fly.,No
86,a shark flys.,No
87,is a shark capable of flying.,No
88,a shark is capable of flying.,No
89,a shark is a flying.,No
90,does a rhino fly.,No
91,can a rhino fly.,No
92,a rhino flys.,No
93,is a rhino capable of flying.,No
94,a rhino is capable of flying.,No
95,a rhino is a flying.,No
96,does a elephant fly.,No
97,can a elephant fly.,No
98,a elephant flys.,No
99,is a elephant capable of flying.,No
100,a elephant is capable of flying.,No
101,a elephant is a flying.,No
102,does a snake fly.,No
103,can a snake fly.,No
104,a snake flys.,No
105,is a snake capable of flying.,No
106,a snake is capable of flying.,No
107,a snake is a flying.,No
108,does a lizard fly.,No
109,can a lizard fly.,No
110,a lizard flys.,No
111,is a lizard capable of flying.,No
112,a lizard is capable of flying.,No
113,a lizard is a flying.,No
114,does a rabbit fly.,No
115,can a rabbit fly.,No
116,a rabbit flys.,No
117,is a rabbit capable of flying.,No
118,a rabbit is capable of flying.,No
119,a rabbit is a flying.,No
120,does a monkey fly.,No
121,can a monkey fly.,No
122,a monkey flys.,No
123,is a monkey capable of flying.,No
124,a monkey is capable of flying.,No
125,a monkey is a flying.,No
126,does a sheep fly.,No
127,can a sheep fly.,No
128,a sheep flys.,No
129,is a sheep capable of flying.,No
130,a sheep is capable of flying.,No
131,a sheep is a flying.,No
132,does a donkey fly.,No
133,can a donkey fly.,No
134,a donkey flys.,No
135,is a donkey capable of flying.,No
136,a donkey is capable of flying.,No
137,a donkey is a flying.,No
138,does a giraffe fly.,No
139,can a giraffe fly.,No
140,a giraffe flys.,No
141,is a giraffe capable of flying.,No
142,a giraffe is capable of flying.,No
143,a giraffe is a flying.,No
144,does a worm fly.,No
145,can a worm fly.,No
146,a worm flys.,No
147,is a worm capable of flying.,No
148,a worm is capable of flying.,No
149,a worm is a flying.,No
150,does a goat fly.,No
151,can a goat fly.,No
152,a goat flys.,No
153,is a goat capable of flying.,No
154,a goat is capable of flying.,No
155,a goat is a flying.,No
156,does a rat fly.,No
157,can a rat fly.,No
158,a rat flys.,No
159,is a rat capable of flying.,No
160,a rat is capable of flying.,No
161,a rat is a flying.,No
162,does a ox fly.,No
163,can a ox fly.,No
164,a ox flys.,No
165,is a ox capable of flying.,No
166,a ox is capable of flying.,No
167,a ox is a flying.,No
168,does a bear fly.,No
169,can a bear fly.,No
170,a bear flys.,No
171,is a bear capable of flying.,No
172,a bear is capable of flying.,No
173,a bear is a flying.,No
174,does a leopard fly.,No
175,can a leopard fly.,No
176,a leopard flys.,No
177,is a leopard capable of flying.,No
178,a leopard is capable of flying.,No
179,a leopard is a flying.,No
180,does a jaguar fly.,No
181,can a jaguar fly.,No
182,a jaguar flys.,No
183,is a jaguar capable of flying.,No
184,a jaguar is capable of flying.,No
185,a jaguar is a flying.,No
186,does a puma fly.,No
187,can a puma fly.,No
188,a puma flys.,No
189,is a puma capable of flying.,No
190,a puma is capable of flying.,No
191,a puma is a flying.,No
192,does a poodle fly.,No
193,can a poodle fly.,No
194,a poodle flys.,No
195,is a poodle capable of flying.,No
196,a poodle is capable of flying.,No
197,a poodle is a flying.,No
198,does a rottweiler fly.,No
199,can a rottweiler fly.,No
200,a rottweiler flys.,No
201,is a rottweiler capable of flying.,No
202,a rottweiler is capable of flying.,No
203,a rottweiler is a flying.,No
204,does a pomeranian fly.,No
205,can a pomeranian fly.,No
206,a pomeranian flys.,No
207,is a pomeranian capable of flying.,No
208,a pomeranian is capable of flying.,No
209,a pomeranian is a flying.,No
210,does a doberman fly.,No
211,can a doberman fly.,No
212,a doberman flys.,No
213,is a doberman capable of flying.,No
214,a doberman is capable of flying.,No
215,a doberman is a flying.,No
216,does a corgi fly.,No
217,can a corgi fly.,No
218,a corgi flys.,No
219,is a corgi capable of flying.,No
220,a corgi is capable of flying.,No
221,a corgi is a flying.,No
222,does a beagle fly.,No
223,can a beagle fly.,No
224,a beagle flys.,No
225,is a beagle capable of flying.,No
226,a beagle is capable of flying.,No
227,a beagle is a flying.,No
228,does a labrador fly.,No
229,can a labrador fly.,No
230,a labrador flys.,No
231,is a labrador capable of flying.,No
232,a labrador is capable of flying.,No
233,a labrador is a flying.,No
234,does a yellowfin fly.,No
235,can a yellowfin fly.,No
236,a yellowfin flys.,No
237,is a yellowfin capable of flying.,No
238,a yellowfin is capable of flying.,No
239,a yellowfin is a flying.,No
240,does a tuna fly.,No
241,can a tuna fly.,No
242,a tuna flys.,No
243,is a tuna capable of flying.,No
244,a tuna is capable of flying.,No
245,a tuna is a flying.,No
246,does a salmon fly.,No
247,can a salmon fly.,No
248,a salmon flys.,No
249,is a salmon capable of flying.,No
250,a salmon is capable of flying.,No
251,a salmon is a flying.,No
252,does a whale fly.,No
253,can a whale fly.,No
254,a whale flys.,No
255,is a whale capable of flying.,No
256,a whale is capable of flying.,No
257,a whale is a flying.,No
258,does a dolphin fly.,No
259,can a dolphin fly.,No
260,a dolphin flys.,No
261,is a dolphin capable of flying.,No
262,a dolphin is capable of flying.,No
263,a dolphin is a flying.,No
264,does a eel fly.,No
265,can a eel fly.,No
266,a eel flys.,No
267,is a eel capable of flying.,No
268,a eel is capable of flying.,No
269,a eel is a flying.,No
270,does a jellyfish fly.,No
271,can a jellyfish fly.,No
272,a jellyfish flys.,No
273,is a jellyfish capable of flying.,No
274,a jellyfish is capable of flying.,No
275,a jellyfish is a flying.,No
276,does a snail fly.,No
277,can a snail fly.,No
278,a snail flys.,No
279,is a snail capable of flying.,No
280,a snail is capable of flying.,No
281,a snail is a flying.,No
282,does a codfish fly.,No
283,can a codfish fly.,No
284,a codfish flys.,No
285,is a codfish capable of flying.,No
286,a codfish is capable of flying.,No
287,a codfish is a flying.,No
288,does a ram fly.,No
289,can a ram fly.,No
290,a ram flys.,No
291,is a ram capable of flying.,No
292,a ram is capable of flying.,No
293,a ram is a flying.,No
