,question,label
0,does a rhino have fur,No
1,a rhino has fur,No
2,fur is a body part of a rhino,No
3,fur is part of rhino's body,No
4,fur belongs to a rhino,No
5,does a rhino have fur?,No
6,does a elephant have fur,No
7,a elephant has fur,No
8,fur is a body part of a elephant,No
9,fur is part of elephant's body,No
10,fur belongs to a elephant,No
11,does a elephant have fur?,No
12,does a flamingo have fur,No
13,a flamingo has fur,No
14,fur is a body part of a flamingo,No
15,fur is part of flamingo's body,No
16,fur belongs to a flamingo,No
17,does a flamingo have fur?,No
18,does a hippopotamus have fur,No
19,a hippopotamus has fur,No
20,fur is a body part of a hippopotamus,No
21,fur is part of hippopotamus's body,No
22,fur belongs to a hippopotamus,No
23,does a hippopotamus have fur?,No
24,does a iguana have fur,No
25,a iguana has fur,No
26,fur is a body part of a iguana,No
27,fur is part of iguana's body,No
28,fur belongs to a iguana,No
29,does a iguana have fur?,No
30,does a lizard have fur,No
31,a lizard has fur,No
32,fur is a body part of a lizard,No
33,fur is part of lizard's body,No
34,fur belongs to a lizard,No
35,does a lizard have fur?,No
36,does a pig have fur,No
37,a pig has fur,No
38,fur is a body part of a pig,No
39,fur is part of pig's body,No
40,fur belongs to a pig,No
41,does a pig have fur?,No
42,does a worm have fur,No
43,a worm has fur,No
44,fur is a body part of a worm,No
45,fur is part of worm's body,No
46,fur belongs to a worm,No
47,does a worm have fur?,No
48,does a snail have fur,No
49,a snail has fur,No
50,fur is a body part of a snail,No
51,fur is part of snail's body,No
52,fur belongs to a snail,No
53,does a snail have fur?,No
54,does a tarantula have fur,No
55,a tarantula has fur,No
56,fur is a body part of a tarantula,No
57,fur is part of tarantula's body,No
58,fur belongs to a tarantula,No
59,does a tarantula have fur?,No
60,does a spider have fur,No
61,a spider has fur,No
62,fur is a body part of a spider,No
63,fur is part of spider's body,No
64,fur belongs to a spider,No
65,does a spider have fur?,No
66,does a boa have fur,No
67,a boa has fur,No
68,fur is a body part of a boa,No
69,fur is part of boa's body,No
70,fur belongs to a boa,No
71,does a boa have fur?,No
72,does a cobra have fur,No
73,a cobra has fur,No
74,fur is a body part of a cobra,No
75,fur is part of cobra's body,No
76,fur belongs to a cobra,No
77,does a cobra have fur?,No
78,does a mamba have fur,No
79,a mamba has fur,No
80,fur is a body part of a mamba,No
81,fur is part of mamba's body,No
82,fur belongs to a mamba,No
83,does a mamba have fur?,No
84,does a ant have fur,No
85,a ant has fur,No
86,fur is a body part of a ant,No
87,fur is part of ant's body,No
88,fur belongs to a ant,No
89,does a ant have fur?,No
90,does a caterpillar have fur,No
91,a caterpillar has fur,No
92,fur is a body part of a caterpillar,No
93,fur is part of caterpillar's body,No
94,fur belongs to a caterpillar,No
95,does a caterpillar have fur?,No
96,does a alligator have fur,No
97,a alligator has fur,No
98,fur is a body part of a alligator,No
99,fur is part of alligator's body,No
100,fur belongs to a alligator,No
101,does a alligator have fur?,No
102,does a crocodile have fur,No
103,a crocodile has fur,No
104,fur is a body part of a crocodile,No
105,fur is part of crocodile's body,No
106,fur belongs to a crocodile,No
107,does a crocodile have fur?,No
108,does a snake have fur,No
109,a snake has fur,No
110,fur is a body part of a snake,No
111,fur is part of snake's body,No
112,fur belongs to a snake,No
113,does a snake have fur?,No
114,does a frog have fur,No
115,a frog has fur,No
116,fur is a body part of a frog,No
117,fur is part of frog's body,No
118,fur belongs to a frog,No
119,does a frog have fur?,No
120,does a salamander have fur,No
121,a salamander has fur,No
122,fur is a body part of a salamander,No
123,fur is part of salamander's body,No
124,fur belongs to a salamander,No
125,does a salamander have fur?,No
126,does a fish have fur,No
127,a fish has fur,No
128,fur is a body part of a fish,No
129,fur is part of fish's body,No
130,fur belongs to a fish,No
131,does a fish have fur?,No
132,does a shark have fur,No
133,a shark has fur,No
134,fur is a body part of a shark,No
135,fur is part of shark's body,No
136,fur belongs to a shark,No
137,does a shark have fur?,No
138,does a tuna have fur,No
139,a tuna has fur,No
140,fur is a body part of a tuna,No
141,fur is part of tuna's body,No
142,fur belongs to a tuna,No
143,does a tuna have fur?,No
144,does a jellyfish have fur,No
145,a jellyfish has fur,No
146,fur is a body part of a jellyfish,No
147,fur is part of jellyfish's body,No
148,fur belongs to a jellyfish,No
149,does a jellyfish have fur?,No
150,does a salmon have fur,No
151,a salmon has fur,No
152,fur is a body part of a salmon,No
153,fur is part of salmon's body,No
154,fur belongs to a salmon,No
155,does a salmon have fur?,No
156,does a octupus have fur,No
157,a octupus has fur,No
158,fur is a body part of a octupus,No
159,fur is part of octupus's body,No
160,fur belongs to a octupus,No
161,does a octupus have fur?,No
162,does a barracuda have fur,No
163,a barracuda has fur,No
164,fur is a body part of a barracuda,No
165,fur is part of barracuda's body,No
166,fur belongs to a barracuda,No
167,does a barracuda have fur?,No
168,does a codfish have fur,No
169,a codfish has fur,No
170,fur is a body part of a codfish,No
171,fur is part of codfish's body,No
172,fur belongs to a codfish,No
173,does a codfish have fur?,No
174,does a crab have fur,No
175,a crab has fur,No
176,fur is a body part of a crab,No
177,fur is part of crab's body,No
178,fur belongs to a crab,No
179,does a crab have fur?,No
180,does a cuttlefish have fur,No
181,a cuttlefish has fur,No
182,fur is a body part of a cuttlefish,No
183,fur is part of cuttlefish's body,No
184,fur belongs to a cuttlefish,No
185,does a cuttlefish have fur?,No
186,does a dolphin have fur,No
187,a dolphin has fur,No
188,fur is a body part of a dolphin,No
189,fur is part of dolphin's body,No
190,fur belongs to a dolphin,No
191,does a dolphin have fur?,No
192,does a eel have fur,No
193,a eel has fur,No
194,fur is a body part of a eel,No
195,fur is part of eel's body,No
196,fur belongs to a eel,No
197,does a eel have fur?,No
198,does a gar have fur,No
199,a gar has fur,No
200,fur is a body part of a gar,No
201,fur is part of gar's body,No
202,fur belongs to a gar,No
203,does a gar have fur?,No
204,does a herring have fur,No
205,a herring has fur,No
