,question,label
0,does a rhino have hair,No
1,a rhino has hair,No
2,hair is a part of a rhino body,No
3,does a elephant have hair,No
4,a elephant has hair,No
5,hair is a part of a elephant body,No
6,does a flamingo have hair,No
7,a flamingo has hair,No
8,hair is a part of a flamingo body,No
9,does a hippopotamus have hair,No
10,a hippopotamus has hair,No
11,hair is a part of a hippopotamus body,No
12,does a iguana have hair,No
13,a iguana has hair,No
14,hair is a part of a iguana body,No
15,does a lizard have hair,No
16,a lizard has hair,No
17,hair is a part of a lizard body,No
18,does a pig have hair,No
19,a pig has hair,No
20,hair is a part of a pig body,No
21,does a worm have hair,No
22,a worm has hair,No
23,hair is a part of a worm body,No
24,does a snail have hair,No
25,a snail has hair,No
26,hair is a part of a snail body,No
27,does a tarantula have hair,No
28,a tarantula has hair,No
29,hair is a part of a tarantula body,No
30,does a spider have hair,No
31,a spider has hair,No
32,hair is a part of a spider body,No
33,does a boa have hair,No
34,a boa has hair,No
35,hair is a part of a boa body,No
36,does a cobra have hair,No
37,a cobra has hair,No
38,hair is a part of a cobra body,No
39,does a mamba have hair,No
40,a mamba has hair,No
41,hair is a part of a mamba body,No
42,does a ant have hair,No
43,a ant has hair,No
44,hair is a part of a ant body,No
45,does a caterpillar have hair,No
46,a caterpillar has hair,No
47,hair is a part of a caterpillar body,No
48,does a alligator have hair,No
49,a alligator has hair,No
50,hair is a part of a alligator body,No
51,does a crocodile have hair,No
52,a crocodile has hair,No
53,hair is a part of a crocodile body,No
54,does a snake have hair,No
55,a snake has hair,No
56,hair is a part of a snake body,No
57,does a frog have hair,No
58,a frog has hair,No
59,hair is a part of a frog body,No
60,does a salamander have hair,No
61,a salamander has hair,No
62,hair is a part of a salamander body,No
63,does a tapir have hair,No
64,a tapir has hair,No
65,hair is a part of a tapir body,No
66,does a fish have hair,No
67,a fish has hair,No
68,hair is a part of a fish body,No
69,does a shark have hair,No
70,a shark has hair,No
71,hair is a part of a shark body,No
72,does a tuna have hair,No
73,a tuna has hair,No
74,hair is a part of a tuna body,No
75,does a jellyfish have hair,No
76,a jellyfish has hair,No
77,hair is a part of a jellyfish body,No
78,does a salmon have hair,No
79,a salmon has hair,No
80,hair is a part of a salmon body,No
81,does a octupus have hair,No
82,a octupus has hair,No
83,hair is a part of a octupus body,No
84,does a barracuda have hair,No
85,a barracuda has hair,No
86,hair is a part of a barracuda body,No
87,does a codfish have hair,No
88,a codfish has hair,No
89,hair is a part of a codfish body,No
90,does a crab have hair,No
91,a crab has hair,No
92,hair is a part of a crab body,No
93,does a cuttlefish have hair,No
94,a cuttlefish has hair,No
95,hair is a part of a cuttlefish body,No
96,does a dolphin have hair,No
97,a dolphin has hair,No
98,hair is a part of a dolphin body,No
99,does a eel have hair,No
100,a eel has hair,No
101,hair is a part of a eel body,No
102,does a gar have hair,No
103,a gar has hair,No
104,hair is a part of a gar body,No
105,does a herring have hair,No
106,a herring has hair,No
107,hair is a part of a herring body,No
108,does a kingfisher have hair,No
109,a kingfisher has hair,No
110,hair is a part of a kingfisher body,No
111,does a lobster have hair,No
112,a lobster has hair,No
113,hair is a part of a lobster body,No
114,does a oyster have hair,No
115,a oyster has hair,No
116,hair is a part of a oyster body,No
117,does a piranha have hair,No
118,a piranha has hair,No
119,hair is a part of a piranha body,No
120,does a seal have hair,No
121,a seal has hair,No
122,hair is a part of a seal body,No
123,does a shrimp have hair,No
124,a shrimp has hair,No
125,hair is a part of a shrimp body,No
126,does a prawn have hair,No
127,a prawn has hair,No
128,hair is a part of a prawn body,No
129,does a starfish have hair,No
130,a starfish has hair,No
131,hair is a part of a starfish body,No
132,does a sponge have hair,No
133,a sponge has hair,No
134,hair is a part of a sponge body,No
135,does a whale have hair,No
136,a whale has hair,No
137,hair is a part of a whale body,No
138,does a turkey have hair,No
139,a turkey has hair,No
140,hair is a part of a turkey body,No
141,does a swan have hair,No
142,a swan has hair,No
143,hair is a part of a swan body,No
144,does a sparrow have hair,No
145,a sparrow has hair,No
146,hair is a part of a sparrow body,No
147,does a songbird have hair,No
148,a songbird has hair,No
149,hair is a part of a songbird body,No
150,does a roaster have hair,No
151,a roaster has hair,No
152,hair is a part of a roaster body,No
153,does a bird have hair,No
154,a bird has hair,No
155,hair is a part of a bird body,No
