entity,does a <entity> have horns,a <entity> has horns,does a <entity> have a horn,a <entity> has a horn
elephant,0,0,0,0
flamingo,0,0,0,0
hippopotamus,0,0,0,0
iguana,0,0,0,0
lizard,0,0,0,0
pig,0,0,0,0
worm,0,0,0,0
snail,0,0,0,0
tarantula,0,0,0,0
spider,0,0,0,0
boa,0,0,0,0
cobra,0,0,0,0
cat,0,0,0,0
dog,0,0,0,0
caterpillar,0,0,0,0
alligator,0,0,0,0
crocodile,0,0,0,0
snake,0,0,0,0
frog,0,0,0,0
salamander,0,0,0,0
tapir,0,0,0,0
fish,0,0,0,0
shark,0,0,0,0
tuna,0,0,0,0
jellyfish,0,0,0,0
salmon,0,0,0,0
octupus,0,0,0,0
bird,0,0,0,0
gull,0,0,0,0
swan,0,0,0,0
whale,0,0,0,0
eagle,0,0,0,0
owl,0,0,0,0
lion,0,0,0,0
tiger,0,0,0,0
puma,0,0,0,0
jaguar,0,0,0,0
songbird,0,0,0,0
rabbit,0,0,0,0
rat,0,0,0,0
poodle,0,0,0,0
