,question,label
0,does a elephant have horns?,No
1,a elephant has horns.,No
2,does a flamingo have horns?,No
3,a flamingo has horns.,No
4,does a hippopotamus have horns?,No
5,a hippopotamus has horns.,No
6,does a iguana have horns?,No
7,a iguana has horns.,No
8,does a lizard have horns?,No
9,a lizard has horns.,No
10,does a pig have horns?,No
11,a pig has horns.,No
12,does a worm have horns?,No
13,a worm has horns.,No
14,does a snail have horns?,No
15,a snail has horns.,No
16,does a tarantula have horns?,No
17,a tarantula has horns.,No
18,does a spider have horns?,No
19,a spider has horns.,No
20,does a boa have horns?,No
21,a boa has horns.,No
22,does a cobra have horns?,No
23,a cobra has horns.,No
24,does a cat have horns?,No
25,a cat has horns.,No
26,does a dog have horns?,No
27,a dog has horns.,No
28,does a caterpillar have horns?,No
29,a caterpillar has horns.,No
30,does a alligator have horns?,No
31,a alligator has horns.,No
32,does a crocodile have horns?,No
33,a crocodile has horns.,No
34,does a snake have horns?,No
35,a snake has horns.,No
36,does a frog have horns?,No
37,a frog has horns.,No
38,does a salamander have horns?,No
39,a salamander has horns.,No
40,does a tapir have horns?,No
41,a tapir has horns.,No
42,does a fish have horns?,No
43,a fish has horns.,No
44,does a shark have horns?,No
45,a shark has horns.,No
46,does a tuna have horns?,No
47,a tuna has horns.,No
48,does a jellyfish have horns?,No
49,a jellyfish has horns.,No
50,does a salmon have horns?,No
51,a salmon has horns.,No
52,does a octupus have horns?,No
53,a octupus has horns.,No
