,question,label
0,Does a corgi live underwater?,No
1,A corgi lives underwater.,No
2,Does a corgi live in the water?,No
3,A corgi lives in the water.,No
4,Does a corgi live in the sea?,No
5,A corgi lives in the sea.,No
6,Does a corgi live in the ocean?,No
7,A corgi lives in the ocean.,No
8,Does a beagle live underwater?,No
9,A beagle lives underwater.,No
10,Does a beagle live in the water?,No
11,A beagle lives in the water.,No
12,Does a beagle live in the sea?,No
13,A beagle lives in the sea.,No
14,Does a beagle live in the ocean?,No
15,A beagle lives in the ocean.,No
16,Does a boxer live underwater?,No
17,A boxer lives underwater.,No
18,Does a boxer live in the water?,No
19,A boxer lives in the water.,No
20,Does a boxer live in the sea?,No
21,A boxer lives in the sea.,No
22,Does a boxer live in the ocean?,No
23,A boxer lives in the ocean.,No
24,Does a bulldog live underwater?,No
25,A bulldog lives underwater.,No
26,Does a bulldog live in the water?,No
27,A bulldog lives in the water.,No
28,Does a bulldog live in the sea?,No
29,A bulldog lives in the sea.,No
30,Does a bulldog live in the ocean?,No
31,A bulldog lives in the ocean.,No
32,Does a dog live underwater?,No
33,A dog lives underwater.,No
34,Does a dog live in the water?,No
35,A dog lives in the water.,No
36,Does a dog live in the sea?,No
37,A dog lives in the sea.,No
38,Does a dog live in the ocean?,No
39,A dog lives in the ocean.,No
40,Does a chihuahua live underwater?,No
41,A chihuahua lives underwater.,No
42,Does a chihuahua live in the water?,No
43,A chihuahua lives in the water.,No
44,Does a chihuahua live in the sea?,No
45,A chihuahua lives in the sea.,No
46,Does a chihuahua live in the ocean?,No
47,A chihuahua lives in the ocean.,No
48,Does a cocker spaniel live underwater?,No
49,A cocker spaniel lives underwater.,No
50,Does a cocker spaniel live in the water?,No
51,A cocker spaniel lives in the water.,No
52,Does a cocker spaniel live in the sea?,No
53,A cocker spaniel lives in the sea.,No
54,Does a cocker spaniel live in the ocean?,No
55,A cocker spaniel lives in the ocean.,No
56,Does a collie live underwater?,No
57,A collie lives underwater.,No
58,Does a collie live in the water?,No
59,A collie lives in the water.,No
60,Does a collie live in the sea?,No
61,A collie lives in the sea.,No
62,Does a collie live in the ocean?,No
63,A collie lives in the ocean.,No
64,Does a dalmatian live underwater?,No
65,A dalmatian lives underwater.,No
66,Does a dalmatian live in the water?,No
67,A dalmatian lives in the water.,No
68,Does a dalmatian live in the sea?,No
69,A dalmatian lives in the sea.,No
70,Does a dalmatian live in the ocean?,No
71,A dalmatian lives in the ocean.,No
72,Does a doberman live underwater?,No
73,A doberman lives underwater.,No
74,Does a doberman live in the water?,No
75,A doberman lives in the water.,No
76,Does a doberman live in the sea?,No
77,A doberman lives in the sea.,No
78,Does a doberman live in the ocean?,No
79,A doberman lives in the ocean.,No
80,Does a fox live underwater?,No
81,A fox lives underwater.,No
82,Does a fox live in the water?,No
83,A fox lives in the water.,No
84,Does a fox live in the sea?,No
85,A fox lives in the sea.,No
86,Does a fox live in the ocean?,No
87,A fox lives in the ocean.,No
88,Does a labrador live underwater?,No
89,A labrador lives underwater.,No
90,Does a labrador live in the water?,No
91,A labrador lives in the water.,No
92,Does a labrador live in the sea?,No
93,A labrador lives in the sea.,No
94,Does a labrador live in the ocean?,No
95,A labrador lives in the ocean.,No
96,Does a pinscher live underwater?,No
97,A pinscher lives underwater.,No
98,Does a pinscher live in the water?,No
99,A pinscher lives in the water.,No
100,Does a pinscher live in the sea?,No
101,A pinscher lives in the sea.,No
102,Does a pinscher live in the ocean?,No
103,A pinscher lives in the ocean.,No
104,Does a pomeranian live underwater?,No
105,A pomeranian lives underwater.,No
106,Does a pomeranian live in the water?,No
107,A pomeranian lives in the water.,No
108,Does a pomeranian live in the sea?,No
109,A pomeranian lives in the sea.,No
110,Does a pomeranian live in the ocean?,No
111,A pomeranian lives in the ocean.,No
112,Does a schnauzer live underwater?,No
113,A schnauzer lives underwater.,No
114,Does a schnauzer live in the water?,No
115,A schnauzer lives in the water.,No
116,Does a schnauzer live in the sea?,No
117,A schnauzer lives in the sea.,No
118,Does a schnauzer live in the ocean?,No
119,A schnauzer lives in the ocean.,No
120,Does a terrier live underwater?,No
121,A terrier lives underwater.,No
122,Does a terrier live in the water?,No
123,A terrier lives in the water.,No
124,Does a terrier live in the sea?,No
125,A terrier lives in the sea.,No
126,Does a terrier live in the ocean?,No
127,A terrier lives in the ocean.,No
128,Does a wolf live underwater?,No
129,A wolf lives underwater.,No
130,Does a wolf live in the water?,No
131,A wolf lives in the water.,No
132,Does a wolf live in the sea?,No
133,A wolf lives in the sea.,No
134,Does a wolf live in the ocean?,No
135,A wolf lives in the ocean.,No
136,Does a cat live underwater?,No
137,A cat lives underwater.,No
138,Does a cat live in the water?,No
139,A cat lives in the water.,No
140,Does a cat live in the sea?,No
141,A cat lives in the sea.,No
142,Does a cat live in the ocean?,No
143,A cat lives in the ocean.,No
144,Does a caracal live underwater?,No
145,A caracal lives underwater.,No
146,Does a caracal live in the water?,No
147,A caracal lives in the water.,No
148,Does a caracal live in the sea?,No
149,A caracal lives in the sea.,No
150,Does a caracal live in the ocean?,No
151,A caracal lives in the ocean.,No
152,Does a jaguar live underwater?,No
153,A jaguar lives underwater.,No
154,Does a jaguar live in the water?,No
155,A jaguar lives in the water.,No
156,Does a jaguar live in the sea?,No
157,A jaguar lives in the sea.,No
158,Does a jaguar live in the ocean?,No
159,A jaguar lives in the ocean.,No
160,Does a liger live underwater?,No
161,A liger lives underwater.,No
162,Does a liger live in the water?,No
163,A liger lives in the water.,No
164,Does a liger live in the sea?,No
165,A liger lives in the sea.,No
166,Does a liger live in the ocean?,No
167,A liger lives in the ocean.,No
168,Does a lion live underwater?,No
169,A lion lives underwater.,No
170,Does a lion live in the water?,No
171,A lion lives in the water.,No
172,Does a lion live in the sea?,No
173,A lion lives in the sea.,No
174,Does a lion live in the ocean?,No
175,A lion lives in the ocean.,No
176,Does a leopard live underwater?,No
177,A leopard lives underwater.,No
178,Does a leopard live in the water?,No
179,A leopard lives in the water.,No
180,Does a leopard live in the sea?,No
181,A leopard lives in the sea.,No
182,Does a leopard live in the ocean?,No
183,A leopard lives in the ocean.,No
184,Does a tiger live underwater?,No
185,A tiger lives underwater.,No
186,Does a tiger live in the water?,No
187,A tiger lives in the water.,No
188,Does a tiger live in the sea?,No
189,A tiger lives in the sea.,No
190,Does a tiger live in the ocean?,No
191,A tiger lives in the ocean.,No
192,Does a beef live underwater?,No
193,A beef lives underwater.,No
194,Does a beef live in the water?,No
195,A beef lives in the water.,No
196,Does a beef live in the sea?,No
197,A beef lives in the sea.,No
198,Does a beef live in the ocean?,No
199,A beef lives in the ocean.,No
200,Does a bull live underwater?,No
201,A bull lives underwater.,No
202,Does a bull live in the water?,No
203,A bull lives in the water.,No
204,Does a bull live in the sea?,No
205,A bull lives in the sea.,No
206,Does a bull live in the ocean?,No
207,A bull lives in the ocean.,No
208,Does a cow live underwater?,No
209,A cow lives underwater.,No
210,Does a cow live in the water?,No
211,A cow lives in the water.,No
212,Does a cow live in the sea?,No
213,A cow lives in the sea.,No
214,Does a cow live in the ocean?,No
215,A cow lives in the ocean.,No
216,Does a ox live underwater?,No
217,A ox lives underwater.,No
218,Does a ox live in the water?,No
219,A ox lives in the water.,No
220,Does a ox live in the sea?,No
221,A ox lives in the sea.,No
222,Does a ox live in the ocean?,No
223,A ox lives in the ocean.,No
224,Does a turkey live underwater?,No
225,A turkey lives underwater.,No
226,Does a turkey live in the water?,No
227,A turkey lives in the water.,No
228,Does a turkey live in the sea?,No
229,A turkey lives in the sea.,No
230,Does a turkey live in the ocean?,No
231,A turkey lives in the ocean.,No
232,Does a swan live underwater?,No
233,A swan lives underwater.,No
234,Does a swan live in the water?,No
235,A swan lives in the water.,No
236,Does a swan live in the sea?,No
237,A swan lives in the sea.,No
238,Does a swan live in the ocean?,No
239,A swan lives in the ocean.,No
240,Does a sparrow live underwater?,No
241,A sparrow lives underwater.,No
242,Does a sparrow live in the water?,No
243,A sparrow lives in the water.,No
244,Does a sparrow live in the sea?,No
245,A sparrow lives in the sea.,No
246,Does a sparrow live in the ocean?,No
247,A sparrow lives in the ocean.,No
248,Does a songbird live underwater?,No
249,A songbird lives underwater.,No
250,Does a songbird live in the water?,No
251,A songbird lives in the water.,No
252,Does a songbird live in the sea?,No
253,A songbird lives in the sea.,No
254,Does a songbird live in the ocean?,No
255,A songbird lives in the ocean.,No
256,Does a roaster live underwater?,No
257,A roaster lives underwater.,No
258,Does a roaster live in the water?,No
259,A roaster lives in the water.,No
260,Does a roaster live in the sea?,No
261,A roaster lives in the sea.,No
262,Does a roaster live in the ocean?,No
263,A roaster lives in the ocean.,No
264,Does a bird live underwater?,No
265,A bird lives underwater.,No
266,Does a bird live in the water?,No
267,A bird lives in the water.,No
268,Does a bird live in the sea?,No
269,A bird lives in the sea.,No
270,Does a bird live in the ocean?,No
271,A bird lives in the ocean.,No
272,Does a eagle live underwater?,No
273,A eagle lives underwater.,No
274,Does a eagle live in the water?,No
275,A eagle lives in the water.,No
276,Does a eagle live in the sea?,No
277,A eagle lives in the sea.,No
278,Does a eagle live in the ocean?,No
279,A eagle lives in the ocean.,No
280,Does a duck live underwater?,No
281,A duck lives underwater.,No
282,Does a duck live in the water?,No
283,A duck lives in the water.,No
284,Does a duck live in the sea?,No
285,A duck lives in the sea.,No
286,Does a duck live in the ocean?,No
287,A duck lives in the ocean.,No
288,Does a chicken live underwater?,No
289,A chicken lives underwater.,No
290,Does a chicken live in the water?,No
291,A chicken lives in the water.,No
292,Does a chicken live in the sea?,No
293,A chicken lives in the sea.,No
294,Does a chicken live in the ocean?,No
295,A chicken lives in the ocean.,No
296,Does a crow live underwater?,No
297,A crow lives underwater.,No
298,Does a crow live in the water?,No
299,A crow lives in the water.,No
300,Does a crow live in the sea?,No
301,A crow lives in the sea.,No
302,Does a crow live in the ocean?,No
303,A crow lives in the ocean.,No
304,Does a dove live underwater?,No
305,A dove lives underwater.,No
306,Does a dove live in the water?,No
307,A dove lives in the water.,No
308,Does a dove live in the sea?,No
309,A dove lives in the sea.,No
310,Does a dove live in the ocean?,No
311,A dove lives in the ocean.,No
312,Does a hen live underwater?,No
313,A hen lives underwater.,No
314,Does a hen live in the water?,No
315,A hen lives in the water.,No
316,Does a hen live in the sea?,No
