,question,model_answer,true_answer
0,Does a pomeranian live underwater?,Yes,No
1,Does a mule live in the ocean?,Yes,No
2,A bird lives in the water.,Yes,No
3,Does a tiger live underwater?,No,No
4,Does a horse live in the sea?,No,No
5,A dalmatian lives in the ocean.,Yes,No
6,Does a butterfly live in the water?,Yes,No
7,Does a pelican live in the water?,Yes,No
8,Does a gibbon live underwater?,Yes,No
9,A hawk lives in the sea.,Yes,No
10,Does a skunk live in the ocean?,Yes,No
11,A hawk lives in the ocean.,No,No
12,Does a cow live in the water?,No,No
13,Does a antelope live underwater?,No,No
14,Does a pig live in the sea?,No,No
15,Does a chihuahua live in the ocean?,No,No
16,A bulldog lives in the water.,No,No
17,Does a sheep live in the ocean?,No,No
18,Does a gorilla live in the water?,No,No
19,Does a falcon live underwater?,Yes,No
20,Does a owl live in the sea?,Yes,No
21,A seagull lives in the water.,Yes,No
22,Does a boa live underwater?,Yes,No
23,A goat lives in the water.,No,No
24,A caterpillar lives underwater.,Yes,No
25,A bear lives in the ocean.,No,No
26,A baboon lives underwater.,No,No
27,Does a monkey live in the ocean?,No,No
28,A chihuahua lives in the water.,No,No
29,Does a bull live in the ocean?,No,No
30,Does a collie live in the water?,No,No
31,A hummingbird lives in the water.,No,No
32,Does a crow live in the water?,Yes,No
33,A crocodile lives in the sea.,Yes,No
34,Does a seagull live in the water?,Yes,No
35,Does a quail live in the water?,Yes,No
36,A bulldog lives in the sea.,No,No
37,Does a hawk live underwater?,No,No
38,A wolf lives underwater.,No,No
39,Does a tarantula live underwater?,Yes,No
40,A grivet lives underwater.,No,No
41,Does a roaster live underwater?,No,No
42,A bison lives underwater.,No,No
43,A gibbon lives in the sea.,Yes,No
44,Does a wolf live in the water?,Yes,No
45,A deer lives in the ocean.,No,No
46,A bison lives in the sea.,No,No
47,A seagull lives in the sea.,Yes,No
48,A bat lives in the ocean.,No,No
49,Does a dove live in the sea?,No,No
50,A snail lives in the sea.,Yes,No
51,A gorilla lives in the sea.,No,No
52,A corgi lives in the sea.,Yes,No
53,A songbird lives in the sea.,No,No
54,Does a pigeon live in the water?,Yes,No
55,Does a gibbon live in the water?,No,No
56,A hummingbird lives in the ocean.,No,No
57,A hippopotamus lives in the ocean.,No,No
58,A yak lives underwater.,Yes,No
59,A boxer lives in the sea.,No,No
60,A cobra lives in the sea.,No,No
61,Does a songbird live underwater?,No,No
62,Does a alligator live in the sea?,Yes,No
63,A quail lives underwater.,Yes,No
64,Does a cobra live in the water?,No,No
65,Does a chihuahua live in the water?,No,No
66,A frog lives in the sea.,Yes,No
67,A rat lives in the water.,No,No
68,A gorilla lives in the water.,No,No
69,Does a sparrow live underwater?,Yes,No
70,A beef lives in the sea.,No,No
71,A swan lives in the water.,Yes,No
72,A schnauzer lives underwater.,No,No
73,A rhino lives in the water.,No,No
74,A crocodile lives underwater.,No,No
75,A rhino lives in the sea.,No,No
76,A spider lives underwater.,Yes,No
77,A camel lives underwater.,No,No
78,Does a liger live in the water?,No,No
79,A ass lives in the water.,No,No
80,A sparrow lives in the water.,No,No
81,A raccoon lives in the water.,No,No
82,A collie lives in the ocean.,No,No
83,Does a terrier live in the water?,No,No
84,Does a crocodile live in the sea?,Yes,No
85,Does a cow live in the sea?,No,No
86,A pigeon lives underwater.,No,No
87,Does a zebra live in the sea?,No,No
88,Does a sheep live underwater?,No,No
89,Does a jaguar live in the water?,Yes,No
90,Does a jaguar live in the sea?,Yes,No
91,Does a aardvark live in the sea?,Yes,No
92,A shrew lives underwater.,Yes,No
93,Does a caterpillar live in the water?,Yes,No
94,Does a swan live in the sea?,Yes,No
95,Does a swan live in the water?,Yes,No
96,A caracal lives in the water.,Yes,No
97,A ass lives underwater.,No,No
98,A gibbon lives in the water.,No,No
99,A cuckoos lives in the sea.,Yes,No
100,Does a eagle live in the water?,No,No
101,Does a chicken live in the water?,No,No
102,Does a spider live in the sea?,No,No
103,A pig lives in the sea.,No,No
104,Does a bulldog live in the ocean?,No,No
105,A mamba lives in the ocean.,Yes,No
106,A frog lives in the ocean.,No,No
107,A roaster lives in the ocean.,No,No
108,Does a snail live in the ocean?,Yes,No
109,Does a hen live in the sea?,No,No
110,Does a dog live in the ocean?,No,No
111,A tarantula lives in the ocean.,Yes,No
112,A beef lives in the ocean.,No,No
113,Does a husky live in the water?,No,No
114,A mamba lives in the water.,No,No
115,A seagull lives underwater.,Yes,No
116,A baboon lives in the sea.,No,No
117,Does a beef live in the water?,No,No
118,A swan lives in the sea.,Yes,No
119,A turkey lives underwater.,No,No
120,A crow lives in the ocean.,Yes,No
121,Does a liger live in the sea?,No,No
122,A dalmatian lives underwater.,Yes,No
123,Does a ostrich live in the sea?,No,No
124,Does a lion live in the ocean?,Yes,No
125,Does a deer live in the sea?,No,No
126,A falcon lives in the sea.,Yes,No
127,A ass lives in the sea.,No,No
128,A snake lives in the sea.,Yes,No
129,Does a cocker spaniel live in the ocean?,No,No
130,Does a jay live in the ocean?,Yes,No
131,Does a parrot live in the sea?,No,No
132,A fox lives underwater.,No,No
133,A iguana lives underwater.,Yes,No
134,Does a falcon live in the sea?,Yes,No
135,A cuckoos lives in the water.,No,No
136,A zebra lives in the water.,No,No
137,A pigeon lives in the ocean.,Yes,No
138,Does a cuckoos live in the ocean?,Yes,No
139,Does a mule live in the sea?,Yes,No
140,A pelican lives underwater.,Yes,No
141,A ox lives in the sea.,No,No
142,Does a ape live underwater?,Yes,No
143,Does a raccoon live in the sea?,No,No
144,Does a bat live in the water?,No,No
145,A mamba lives in the sea.,Yes,No
146,A collie lives in the sea.,No,No
147,A koala lives in the sea.,Yes,No
148,Does a duck live underwater?,Yes,No
149,Does a hummingbird live in the sea?,Yes,No
150,Does a kangaroo live in the ocean?,No,No
151,A rabbit lives in the sea.,No,No
152,A liger lives in the sea.,No,No
153,Does a bulldog live in the sea?,No,No
154,Does a snail live in the water?,Yes,No
155,A raccoon lives underwater.,Yes,No
156,A penguin lives in the sea.,Yes,No
157,Does a boxer live in the ocean?,No,No
158,Does a frog live in the sea?,Yes,No
159,A baboon lives in the water.,No,No
160,Does a hippopotamus live underwater?,No,No
161,A hyena lives in the sea.,No,No
162,Does a boxer live in the water?,No,No
163,A hyena lives underwater.,Yes,No
164,A duck lives underwater.,Yes,No
165,A tarantula lives underwater.,No,No
166,A horse lives in the sea.,No,No
167,A camel lives in the ocean.,No,No
168,A butterfly lives in the ocean.,Yes,No
169,A songbird lives underwater.,No,No
170,A falcon lives in the ocean.,Yes,No
171,A quail lives in the ocean.,Yes,No
172,A iguana lives in the ocean.,Yes,No
173,A chicken lives underwater.,No,No
174,A alligator lives in the sea.,Yes,No
175,A rat lives underwater.,Yes,No
176,A mouse lives in the sea.,No,No
177,A duck lives in the ocean.,No,No
178,A gibbon lives underwater.,Yes,No
179,Does a goat live in the sea?,No,No
180,A ant lives in the water.,No,No
181,Does a goat live in the water?,Yes,No
182,Does a pig live underwater?,No,No
183,A cat lives in the ocean.,No,No
184,Does a bull live in the sea?,No,No
185,Does a cow live underwater?,No,No
186,Does a cat live in the ocean?,No,No
187,Does a hen live underwater?,No,No
188,Does a hawk live in the sea?,No,No
189,Does a camel live in the sea?,Yes,No
190,A parrot lives in the sea.,No,No
191,Does a doberman live in the sea?,Yes,No
192,A iguana lives in the sea.,No,No
193,Does a salamander live in the ocean?,Yes,No
194,Does a deer live in the ocean?,No,No
195,A moose lives in the ocean.,No,No
196,Does a labrador live in the sea?,No,No
197,Does a snake live in the water?,Yes,No
198,A aardvark lives in the sea.,No,No
199,Does a liger live underwater?,No,No
200,A quail lives in the sea.,Yes,No
201,A sheep lives underwater.,No,No
202,Does a cocker spaniel live in the sea?,No,No
203,Does a penguin live in the water?,Yes,No
204,A falcon lives in the water.,No,No
205,Does a chicken live in the sea?,No,No
206,A cat lives in the sea.,No,No
207,A gorilla lives underwater.,No,No
208,A dog lives underwater.,No,No
209,A beagle lives in the ocean.,No,No
210,A dove lives underwater.,No,No
211,Does a frog live underwater?,Yes,No
212,A hippopotamus lives in the water.,No,No
213,A donkey lives in the ocean.,No,No
214,Does a rhino live in the water?,No,No
215,A hyena lives in the water.,No,No
216,A goat lives underwater.,No,No
217,A raccoon lives in the ocean.,No,No
218,Does a elephant live underwater?,Yes,No
219,Does a ass live in the water?,No,No
220,Does a cobra live in the sea?,No,No
221,A flamingo lives in the sea.,No,No
222,A pig lives in the ocean.,No,No
223,A pigeon lives in the sea.,No,No
224,A alpaca lives in the water.,No,No
225,A schnauzer lives in the sea.,No,No
226,Does a goat live in the ocean?,No,No
227,A hen lives in the sea.,No,No
228,Does a rat live in the sea?,Yes,No
229,Does a donkey live in the ocean?,No,No
230,A chicken lives in the sea.,No,No
231,Does a terrier live in the ocean?,No,No
232,Does a spider live in the ocean?,No,No
233,A mule lives in the ocean.,Yes,No
234,A hippopotamus lives in the sea.,No,No
235,Does a peacock live in the water?,No,No
236,Does a cockatoo live in the sea?,No,No
237,A goat lives in the ocean.,No,No
238,A lion lives in the sea.,Yes,No
239,A sheep lives in the water.,Yes,No
240,A hyena lives in the ocean.,No,No
241,Does a rabbit live underwater?,No,No
242,Does a duck live in the water?,Yes,No
243,A giraffe lives in the ocean.,No,No
244,Does a horse live in the water?,No,No
245,Does a pig live in the water?,No,No
246,Does a bull live underwater?,No,No
247,A monkey lives underwater.,Yes,No
248,A quail lives in the water.,Yes,No
249,A monkey lives in the ocean.,Yes,No
250,Does a peacock live in the ocean?,No,No
