,question,label
0,does a albatrosses fly,Yes
1,can a albatrosses fly,Yes
2,a albatrosses flies,Yes
3,does a albatrosses have wings,Yes
4,a albatrosses has wings,Yes
5,does a albatrosses have a wing,Yes
6,a albatrosses has a wing,Yes
7,does a albatrosses have a beak,Yes
8,a albatrosses has a beak,Yes
9,does a albatrosses live underwater,No
10,a albatrosses lives underwater,No
11,does a albatrosses live in the water,No
12,a albatrosses lives in the water,No
13,a albatrosses can be found underwater,No
14,a albatrosses can be found in the water,No
15,a albatrosses swims,No
16,can a albatrosses swim,No
17,a albatrosses is capable of swimming,No
18,a albatrosses has fins,No
19,does a albatrosses have fins,No
20,a albatrosses has a fin,No
21,does a albatrosses have a fin,No
22,does a avocet fly,Yes
23,can a avocet fly,Yes
24,a avocet flies,Yes
25,does a avocet have wings,Yes
26,a avocet has wings,Yes
27,does a avocet have a wing,Yes
28,a avocet has a wing,Yes
29,does a avocet have a beak,Yes
30,a avocet has a beak,Yes
31,does a avocet live underwater,No
32,a avocet lives underwater,No
33,does a avocet live in the water,No
34,a avocet lives in the water,No
35,a avocet can be found underwater,No
36,a avocet can be found in the water,No
37,a avocet swims,No
38,can a avocet swim,No
39,a avocet is capable of swimming,No
40,a avocet has fins,No
41,does a avocet have fins,No
42,a avocet has a fin,No
43,does a avocet have a fin,No
44,does a bat fly,Yes
45,can a bat fly,Yes
46,a bat flies,Yes
47,does a bat have wings,Yes
48,a bat has wings,Yes
49,does a bat have a wing,Yes
50,a bat has a wing,Yes
51,does a bat have a beak,Yes
52,a bat has a beak,Yes
53,does a bat live underwater,No
54,a bat lives underwater,No
55,does a bat live in the water,No
56,a bat lives in the water,No
57,a bat can be found underwater,No
58,a bat can be found in the water,No
59,a bat swims,No
60,can a bat swim,No
61,a bat is capable of swimming,No
62,a bat has fins,No
63,does a bat have fins,No
64,a bat has a fin,No
65,does a bat have a fin,No
66,does a bird fly,Yes
67,can a bird fly,Yes
68,a bird flies,Yes
69,does a bird have wings,Yes
70,a bird has wings,Yes
71,does a bird have a wing,Yes
72,a bird has a wing,Yes
73,does a bird have a beak,Yes
74,a bird has a beak,Yes
75,does a bird live underwater,No
76,a bird lives underwater,No
77,does a bird live in the water,No
78,a bird lives in the water,No
79,a bird can be found underwater,No
80,a bird can be found in the water,No
81,a bird swims,No
82,can a bird swim,No
83,a bird is capable of swimming,No
84,a bird has fins,No
85,does a bird have fins,No
86,a bird has a fin,No
87,does a bird have a fin,No
88,does a brambling fly,Yes
89,can a brambling fly,Yes
90,a brambling flies,Yes
91,does a brambling have wings,Yes
92,a brambling has wings,Yes
93,does a brambling have a wing,Yes
94,a brambling has a wing,Yes
95,does a brambling have a beak,Yes
96,a brambling has a beak,Yes
97,does a brambling live underwater,No
98,a brambling lives underwater,No
99,does a brambling live in the water,No
100,a brambling lives in the water,No
101,a brambling can be found underwater,No
102,a brambling can be found in the water,No
103,a brambling swims,No
104,can a brambling swim,No
105,a brambling is capable of swimming,No
106,a brambling has fins,No
107,does a brambling have fins,No
108,a brambling has a fin,No
109,does a brambling have a fin,No
110,does a bullfinch fly,Yes
111,can a bullfinch fly,Yes
112,a bullfinch flies,Yes
113,does a bullfinch have wings,Yes
114,a bullfinch has wings,Yes
115,does a bullfinch have a wing,Yes
116,a bullfinch has a wing,Yes
117,does a bullfinch have a beak,Yes
118,a bullfinch has a beak,Yes
119,does a bullfinch live underwater,No
120,a bullfinch lives underwater,No
121,does a bullfinch live in the water,No
122,a bullfinch lives in the water,No
123,a bullfinch can be found underwater,No
124,a bullfinch can be found in the water,No
125,a bullfinch swims,No
126,can a bullfinch swim,No
127,a bullfinch is capable of swimming,No
128,a bullfinch has fins,No
129,does a bullfinch have fins,No
130,a bullfinch has a fin,No
131,does a bullfinch have a fin,No
132,does a bushtit fly,Yes
133,can a bushtit fly,Yes
134,a bushtit flies,Yes
135,does a bushtit have wings,Yes
136,a bushtit has wings,Yes
137,does a bushtit have a wing,Yes
138,a bushtit has a wing,Yes
139,does a bushtit have a beak,Yes
140,a bushtit has a beak,Yes
141,does a bushtit live underwater,No
142,a bushtit lives underwater,No
143,does a bushtit live in the water,No
144,a bushtit lives in the water,No
145,a bushtit can be found underwater,No
146,a bushtit can be found in the water,No
147,a bushtit swims,No
148,can a bushtit swim,No
149,a bushtit is capable of swimming,No
150,a bushtit has fins,No
151,does a bushtit have fins,No
152,a bushtit has a fin,No
153,does a bushtit have a fin,No
154,does a buzzard fly,Yes
155,can a buzzard fly,Yes
156,a buzzard flies,Yes
157,does a buzzard have wings,Yes
158,a buzzard has wings,Yes
159,does a buzzard have a wing,Yes
160,a buzzard has a wing,Yes
161,does a buzzard have a beak,Yes
162,a buzzard has a beak,Yes
163,does a buzzard live underwater,No
164,a buzzard lives underwater,No
165,does a buzzard live in the water,No
166,a buzzard lives in the water,No
167,a buzzard can be found underwater,No
168,a buzzard can be found in the water,No
169,a buzzard swims,No
170,can a buzzard swim,No
171,a buzzard is capable of swimming,No
172,a buzzard has fins,No
173,does a buzzard have fins,No
174,a buzzard has a fin,No
175,does a buzzard have a fin,No
176,does a canary fly,Yes
177,can a canary fly,Yes
178,a canary flies,Yes
179,does a canary have wings,Yes
180,a canary has wings,Yes
181,does a canary have a wing,Yes
182,a canary has a wing,Yes
183,does a canary have a beak,Yes
184,a canary has a beak,Yes
