,question,label
0,does a corgi have fur?,Yes
1,a corgi has fur.,Yes
2,does a beagle have fur?,Yes
3,a beagle has fur.,Yes
4,does a boxer have fur?,Yes
5,a boxer has fur.,Yes
6,does a bulldog have fur?,Yes
7,a bulldog has fur.,Yes
8,does a dog have fur?,Yes
9,a dog has fur.,Yes
10,does a chihuahua have fur?,Yes
11,a chihuahua has fur.,Yes
12,does a collie have fur?,Yes
13,a collie has fur.,Yes
14,does a dalmatian have fur?,Yes
15,a dalmatian has fur.,Yes
16,does a doberman have fur?,Yes
17,a doberman has fur.,Yes
18,does a fox have fur?,Yes
19,a fox has fur.,Yes
20,does a labrador have fur?,Yes
21,a labrador has fur.,Yes
22,does a pinscher have fur?,Yes
23,a pinscher has fur.,Yes
24,does a pomeranian have fur?,Yes
25,a pomeranian has fur.,Yes
26,does a schnauzer have fur?,Yes
27,a schnauzer has fur.,Yes
28,does a terrier have fur?,Yes
29,a terrier has fur.,Yes
30,does a wolf have fur?,Yes
31,a wolf has fur.,Yes
32,does a cat have fur?,Yes
33,a cat has fur.,Yes
34,does a caracal have fur?,Yes
35,a caracal has fur.,Yes
36,does a jaguar have fur?,Yes
37,a jaguar has fur.,Yes
38,does a liger have fur?,Yes
39,a liger has fur.,Yes
40,does a lion have fur?,Yes
41,a lion has fur.,Yes
42,does a leopard have fur?,Yes
43,a leopard has fur.,Yes
44,does a tiger have fur?,Yes
45,a tiger has fur.,Yes
46,does a bear have fur?,Yes
47,a bear has fur.,Yes
48,does a camel have fur?,Yes
49,a camel has fur.,Yes
50,does a deer have fur?,Yes
51,a deer has fur.,Yes
52,does a gorilla have fur?,Yes
53,a gorilla has fur.,Yes
54,does a horse have fur?,Yes
55,a horse has fur.,Yes
56,does a koala have fur?,Yes
57,a koala has fur.,Yes
58,does a kangaroo have fur?,Yes
59,a kangaroo has fur.,Yes
60,does a monkey have fur?,Yes
61,a monkey has fur.,Yes
62,does a mule have fur?,Yes
63,a mule has fur.,Yes
64,does a rabbit have fur?,Yes
65,a rabbit has fur.,Yes
66,does a rat have fur?,Yes
67,a rat has fur.,Yes
68,does a zebra have fur?,Yes
69,a zebra has fur.,Yes
70,does a giraffe have fur?,Yes
71,a giraffe has fur.,Yes
72,does a baboon have fur?,Yes
73,a baboon has fur.,Yes
74,does a mouse have fur?,Yes
75,a mouse has fur.,Yes
76,does a bison have fur?,Yes
77,a bison has fur.,Yes
78,does a ass have fur?,Yes
79,a ass has fur.,Yes
80,does a antelope have fur?,Yes
81,a antelope has fur.,Yes
82,does a raccoon have fur?,Yes
83,a raccoon has fur.,Yes
84,does a husky have fur?,Yes
85,a husky has fur.,Yes
86,does a skunk have fur?,Yes
87,a skunk has fur.,Yes
88,does a ape have fur?,Yes
89,a ape has fur.,Yes
90,does a alpaca have fur?,Yes
91,a alpaca has fur.,Yes
92,does a donkey have fur?,Yes
93,a donkey has fur.,Yes
94,does a moose have fur?,Yes
95,a moose has fur.,Yes
96,does a hyena have fur?,Yes
97,a hyena has fur.,Yes
98,does a rottweiler have fur?,Yes
99,a rottweiler has fur.,Yes
100,does a squirrel have fur?,Yes
101,a squirrel has fur.,Yes
102,does a yak have fur?,Yes
103,a yak has fur.,Yes
