entity,does a <entity> have hair,a <entity> has hair,hair is a part of a <entity> body
corgi,1,1,1
beagle,1,1,1
boxer,1,1,1
bulldog,1,1,1
dog,1,1,1
chihuahua,1,1,1
collie,1,1,1
dalmatian,1,1,1
doberman,1,1,1
fox,1,1,1
labrador,1,1,1
pinscher,1,1,1
pomeranian,1,1,1
schnauzer,1,1,1
terrier,1,1,1
wolf,1,1,1
cat,1,1,1
caracal,1,1,1
jaguar,1,1,1
liger,1,1,1
lion,1,1,1
leopard,1,1,1
tiger,1,1,1
bear,1,1,1
camel,1,1,1
deer,1,1,1
gorilla,1,1,1
horse,1,1,1
koala,1,1,1
kangaroo,1,1,1
monkey,1,1,1
mule,1,1,1
rabbit,1,1,1
rat,1,1,1
zebra,1,1,1
giraffe,1,1,1
baboon,1,1,1
mouse,1,1,1
bison,1,1,1
ass,1,1,1
antelope,1,1,1
raccoon,1,1,1
husky,1,1,1
skunk,1,1,1
ape,1,1,1
alpaca,1,1,1
donkey,1,1,1
moose,1,1,1
hyena,1,1,1
rottweiler,1,1,1
squirrel,1,1,1
yak,1,1,1
