,question,model_answer,true_answer
0,Is hair part of a husky's body?,Yes,Yes
1,Is hair part of a donkey's body?,Yes,Yes
2,Is hair part of a bison's body?,Yes,Yes
3,Is hair part of a baboon's body?,Yes,Yes
4,Is hair part of a antelope's body?,No,Yes
5,A mouse has hair.,No,Yes
6,Hair is part of a rottweiler's body.,No,Yes
7,Hair is part of a husky's body.,Yes,Yes
8,Is hair part of a caracal's body?,Yes,Yes
9,Is hair part of a cocker spaniel's body?,No,Yes
10,Is hair part of a mouse's body?,No,Yes
11,Hair is part of a camel's body.,No,Yes
12,Hair is part of a horse's body.,Yes,Yes
13,A bear has hair.,Yes,Yes
14,Does a deer have hair?,Yes,Yes
15,Is hair part of a koala's body?,Yes,Yes
16,Hair is part of a baboon's body.,Yes,Yes
17,A boxer has hair.,No,Yes
18,Does a yak have hair?,No,Yes
19,A liger has hair.,No,Yes
20,Does a koala have hair?,No,Yes
21,Hair is part of a labrador's body.,No,Yes
22,Does a antelope have hair?,Yes,Yes
23,A moose has hair.,No,Yes
24,Does a dalmatian have hair?,No,Yes
25,A zebra has hair.,No,Yes
26,Is hair part of a yak's body?,Yes,Yes
27,Is hair part of a squirrel's body?,Yes,Yes
28,A deer has hair.,Yes,Yes
29,Is hair part of a monkey's body?,Yes,Yes
30,Is hair part of a doberman's body?,Yes,Yes
31,Is hair part of a chihuahua's body?,No,Yes
32,Hair is part of a bear's body.,Yes,Yes
33,Is hair part of a jaguar's body?,Yes,Yes
34,A skunk has hair.,Yes,Yes
35,Hair is part of a mouse's body.,No,Yes
36,A rottweiler has hair.,No,Yes
37,Does a beagle have hair?,Yes,Yes
38,Hair is part of a ass's body.,Yes,Yes
39,Hair is part of a giraffe's body.,Yes,Yes
40,A donkey has hair.,No,Yes
41,Does a liger have hair?,No,Yes
42,Hair is part of a cocker spaniel's body.,No,Yes
43,Does a wolf have hair?,No,Yes
44,A cocker spaniel has hair.,No,Yes
45,Hair is part of a liger's body.,No,Yes
46,A husky has hair.,Yes,Yes
47,Hair is part of a schnauzer's body.,Yes,Yes
