,question,label
0,does a addax have horns.,Yes
1,a addax has horns.,Yes
2,does horns are body part of addax.,Yes
3,horns are body part of addax.,Yes
4,does a alpaca have horns.,Yes
5,a alpaca has horns.,Yes
6,does horns are body part of alpaca.,Yes
7,horns are body part of alpaca.,Yes
8,does a anoa have horns.,Yes
9,a anoa has horns.,Yes
10,does horns are body part of anoa.,Yes
11,horns are body part of anoa.,Yes
12,does a antelope have horns.,Yes
13,a antelope has horns.,Yes
14,does horns are body part of antelope.,Yes
15,horns are body part of antelope.,Yes
16,does a bharal have horns.,Yes
17,a bharal has horns.,Yes
18,does horns are body part of bharal.,Yes
19,horns are body part of bharal.,Yes
20,does a bison have horns.,Yes
21,a bison has horns.,Yes
22,does horns are body part of bison.,Yes
23,horns are body part of bison.,Yes
24,does a blackbuck have horns.,Yes
25,a blackbuck has horns.,Yes
26,does horns are body part of blackbuck.,Yes
27,horns are body part of blackbuck.,Yes
28,does a buffalo have horns.,Yes
29,a buffalo has horns.,Yes
30,does horns are body part of buffalo.,Yes
31,horns are body part of buffalo.,Yes
32,does a cattle have horns.,Yes
33,a cattle has horns.,Yes
34,does horns are body part of cattle.,Yes
35,horns are body part of cattle.,Yes
36,does a cow have horns.,Yes
37,a cow has horns.,Yes
38,does horns are body part of cow.,Yes
39,horns are body part of cow.,Yes
40,does a deer have horns.,Yes
41,a deer has horns.,Yes
42,does horns are body part of deer.,Yes
43,horns are body part of deer.,Yes
44,does a eland have horns.,Yes
45,a eland has horns.,Yes
46,does horns are body part of eland.,Yes
47,horns are body part of eland.,Yes
48,does a elk have horns.,Yes
49,a elk has horns.,Yes
50,does horns are body part of elk.,Yes
51,horns are body part of elk.,Yes
52,does a goat have horns.,Yes
53,a goat has horns.,Yes
54,does horns are body part of goat.,Yes
55,horns are body part of goat.,Yes
56,does a ibex have horns.,Yes
57,a ibex has horns.,Yes
58,does horns are body part of ibex.,Yes
59,horns are body part of ibex.,Yes
60,does a impala have horns.,Yes
61,a impala has horns.,Yes
62,does horns are body part of impala.,Yes
63,horns are body part of impala.,Yes
64,does a kudu have horns.,Yes
65,a kudu has horns.,Yes
66,does horns are body part of kudu.,Yes
67,horns are body part of kudu.,Yes
68,does a markhor have horns.,Yes
69,a markhor has horns.,Yes
70,does horns are body part of markhor.,Yes
71,horns are body part of markhor.,Yes
72,does a moose have horns.,Yes
73,a moose has horns.,Yes
74,does horns are body part of moose.,Yes
75,horns are body part of moose.,Yes
76,does a mounflon have horns.,Yes
77,a mounflon has horns.,Yes
78,does horns are body part of mounflon.,Yes
79,horns are body part of mounflon.,Yes
80,does a oryx have horns.,Yes
81,a oryx has horns.,Yes
82,does horns are body part of oryx.,Yes
83,horns are body part of oryx.,Yes
84,does a ox have horns.,Yes
85,a ox has horns.,Yes
86,does horns are body part of ox.,Yes
87,horns are body part of ox.,Yes
88,does a reindeer have horns.,Yes
89,a reindeer has horns.,Yes
90,does horns are body part of reindeer.,Yes
91,horns are body part of reindeer.,Yes
92,does a rhino have horns.,Yes
93,a rhino has horns.,Yes
94,does horns are body part of rhino.,Yes
95,horns are body part of rhino.,Yes
96,does a sheep have horns.,Yes
97,a sheep has horns.,Yes
98,does horns are body part of sheep.,Yes
99,horns are body part of sheep.,Yes
100,does a springbox have horns.,Yes
101,a springbox has horns.,Yes
102,does horns are body part of springbox.,Yes
103,horns are body part of springbox.,Yes
104,does a wildbeest have horns.,Yes
105,a wildbeest has horns.,Yes
106,does horns are body part of wildbeest.,Yes
107,horns are body part of wildbeest.,Yes
108,does a yak have horns.,Yes
109,a yak has horns.,Yes
110,does horns are body part of yak.,Yes
111,horns are body part of yak.,Yes
112,does a bull have horns.,Yes
113,a bull has horns.,Yes
114,does horns are body part of bull.,Yes
115,horns are body part of bull.,Yes
116,does a giraffe have horns.,Yes
117,a giraffe has horns.,Yes
118,does horns are body part of giraffe.,Yes
119,horns are body part of giraffe.,Yes
120,does a gazelle have horns.,Yes
121,a gazelle has horns.,Yes
122,does horns are body part of gazelle.,Yes
123,horns are body part of gazelle.,Yes
124,does a gemsbok have horns.,Yes
125,a gemsbok has horns.,Yes
126,does horns are body part of gemsbok.,Yes
127,horns are body part of gemsbok.,Yes
128,does a gnu have horns.,Yes
129,a gnu has horns.,Yes
130,does horns are body part of gnu.,Yes
131,horns are body part of gnu.,Yes
132,does a goral have horns.,Yes
133,a goral has horns.,Yes
134,does horns are body part of goral.,Yes
135,horns are body part of goral.,Yes
136,does a ram have horns.,Yes
137,a ram has horns.,Yes
138,does horns are body part of ram.,Yes
139,horns are body part of ram.,Yes
140,does a takin have horns.,Yes
141,a takin has horns.,Yes
142,does horns are body part of takin.,Yes
143,horns are body part of takin.,Yes
144,does a yak have horns.,Yes
145,a yak has horns.,Yes
146,does horns are body part of yak.,Yes
147,horns are body part of yak.,Yes
148,does a wisent have horns.,Yes
149,a wisent has horns.,Yes
150,does horns are body part of wisent.,Yes
151,horns are body part of wisent.,Yes
152,does a zebu have horns.,Yes
153,a zebu has horns.,Yes
154,does horns are body part of zebu.,Yes
155,horns are body part of zebu.,Yes
156,does a africander have horns.,Yes
157,a africander has horns.,Yes
158,does horns are body part of africander.,Yes
159,horns are body part of africander.,Yes
160,does a bighorn have horns.,Yes
161,a bighorn has horns.,Yes
162,does horns are body part of bighorn.,Yes
163,horns are body part of bighorn.,Yes
