,question,label
0,does a albatrosses have wings?,Yes
1,a albatrosses has wings.,Yes
2,does a albatrosses have a wing?,Yes
3,a albatrosses has a wing.,Yes
4,does a bird have wings?,Yes
5,a bird has wings.,Yes
6,does a bird have a wing?,Yes
7,a bird has a wing.,Yes
8,does a chicken have wings?,Yes
9,a chicken has wings.,Yes
10,does a chicken have a wing?,Yes
11,a chicken has a wing.,Yes
12,does a crow have wings?,Yes
13,a crow has wings.,Yes
14,does a crow have a wing?,Yes
15,a crow has a wing.,Yes
16,does a dove have wings?,Yes
17,a dove has wings.,Yes
18,does a dove have a wing?,Yes
19,a dove has a wing.,Yes
20,does a duck have wings?,Yes
21,a duck has wings.,Yes
22,does a duck have a wing?,Yes
23,a duck has a wing.,Yes
24,does a eagle have wings?,Yes
25,a eagle has wings.,Yes
26,does a eagle have a wing?,Yes
27,a eagle has a wing.,Yes
28,does a falcon have wings?,Yes
29,a falcon has wings.,Yes
30,does a falcon have a wing?,Yes
31,a falcon has a wing.,Yes
32,does a flamingo have wings?,Yes
33,a flamingo has wings.,Yes
34,does a flamingo have a wing?,Yes
35,a flamingo has a wing.,Yes
36,does a goose have wings?,Yes
37,a goose has wings.,Yes
38,does a goose have a wing?,Yes
39,a goose has a wing.,Yes
40,does a gull have wings?,Yes
41,a gull has wings.,Yes
42,does a gull have a wing?,Yes
43,a gull has a wing.,Yes
44,does a hen have wings?,Yes
45,a hen has wings.,Yes
46,does a hen have a wing?,Yes
47,a hen has a wing.,Yes
48,does a heron have wings?,Yes
49,a heron has wings.,Yes
50,does a heron have a wing?,Yes
51,a heron has a wing.,Yes
52,does a hummingbird have wings?,Yes
53,a hummingbird has wings.,Yes
54,does a hummingbird have a wing?,Yes
55,a hummingbird has a wing.,Yes
56,does a jay have wings?,Yes
57,a jay has wings.,Yes
58,does a jay have a wing?,Yes
59,a jay has a wing.,Yes
60,does a macaw have wings?,Yes
61,a macaw has wings.,Yes
62,does a macaw have a wing?,Yes
63,a macaw has a wing.,Yes
64,does a ostrich have wings?,Yes
65,a ostrich has wings.,Yes
66,does a ostrich have a wing?,Yes
67,a ostrich has a wing.,Yes
68,does a owl have wings?,Yes
69,a owl has wings.,Yes
70,does a owl have a wing?,Yes
71,a owl has a wing.,Yes
72,does a parrot have wings?,Yes
73,a parrot has wings.,Yes
74,does a parrot have a wing?,Yes
75,a parrot has a wing.,Yes
76,does a peacock have wings?,Yes
77,a peacock has wings.,Yes
78,does a peacock have a wing?,Yes
79,a peacock has a wing.,Yes
80,does a pigeon have wings?,Yes
81,a pigeon has wings.,Yes
82,does a pigeon have a wing?,Yes
83,a pigeon has a wing.,Yes
84,does a seabird have wings?,Yes
85,a seabird has wings.,Yes
86,does a seabird have a wing?,Yes
87,a seabird has a wing.,Yes
88,does a songbird have wings?,Yes
89,a songbird has wings.,Yes
90,does a songbird have a wing?,Yes
91,a songbird has a wing.,Yes
92,does a sparrow have wings?,Yes
93,a sparrow has wings.,Yes
94,does a sparrow have a wing?,Yes
95,a sparrow has a wing.,Yes
96,does a stork have wings?,Yes
97,a stork has wings.,Yes
98,does a stork have a wing?,Yes
99,a stork has a wing.,Yes
100,does a swan have wings?,Yes
101,a swan has wings.,Yes
102,does a swan have a wing?,Yes
103,a swan has a wing.,Yes
104,does a turkey have wings?,Yes
105,a turkey has wings.,Yes
106,does a turkey have a wing?,Yes
107,a turkey has a wing.,Yes
108,does a vulture have wings?,Yes
109,a vulture has wings.,Yes
110,does a vulture have a wing?,Yes
111,a vulture has a wing.,Yes
112,does a wader have wings?,Yes
113,a wader has wings.,Yes
114,does a wader have a wing?,Yes
115,a wader has a wing.,Yes
