,question,label
0,Does a corgi live underwater?,No
1,A corgi lives underwater.,No
2,A corgi lives in the water.,No
3,Does a corgi can breathe underwater?,No
4,A corgi can breathe underwater.,No
5,A corgi can breathe in the water.,No
6,Does a beagle live underwater?,No
7,A beagle lives underwater.,No
8,A beagle lives in the water.,No
9,Does a beagle can breathe underwater?,No
10,A beagle can breathe underwater.,No
11,A beagle can breathe in the water.,No
12,Does a boxer live underwater?,No
13,A boxer lives underwater.,No
14,A boxer lives in the water.,No
15,Does a boxer can breathe underwater?,No
16,A boxer can breathe underwater.,No
17,A boxer can breathe in the water.,No
18,Does a bulldog live underwater?,No
19,A bulldog lives underwater.,No
20,A bulldog lives in the water.,No
21,Does a bulldog can breathe underwater?,No
22,A bulldog can breathe underwater.,No
23,A bulldog can breathe in the water.,No
24,Does a dog live underwater?,No
25,A dog lives underwater.,No
26,A dog lives in the water.,No
27,Does a dog can breathe underwater?,No
28,A dog can breathe underwater.,No
29,A dog can breathe in the water.,No
30,Does a chihuahua live underwater?,No
31,A chihuahua lives underwater.,No
32,A chihuahua lives in the water.,No
33,Does a chihuahua can breathe underwater?,No
34,A chihuahua can breathe underwater.,No
35,A chihuahua can breathe in the water.,No
36,Does a cocker spaniel live underwater?,No
37,A cocker spaniel lives underwater.,No
38,A cocker spaniel lives in the water.,No
39,Does a cocker spaniel can breathe underwater?,No
40,A cocker spaniel can breathe underwater.,No
41,A cocker spaniel can breathe in the water.,No
42,Does a collie live underwater?,No
43,A collie lives underwater.,No
44,A collie lives in the water.,No
45,Does a collie can breathe underwater?,No
46,A collie can breathe underwater.,No
47,A collie can breathe in the water.,No
48,Does a dalmatian live underwater?,No
49,A dalmatian lives underwater.,No
50,A dalmatian lives in the water.,No
51,Does a dalmatian can breathe underwater?,No
52,A dalmatian can breathe underwater.,No
53,A dalmatian can breathe in the water.,No
54,Does a doberman live underwater?,No
55,A doberman lives underwater.,No
56,A doberman lives in the water.,No
57,Does a doberman can breathe underwater?,No
58,A doberman can breathe underwater.,No
59,A doberman can breathe in the water.,No
60,Does a fox live underwater?,No
61,A fox lives underwater.,No
62,A fox lives in the water.,No
63,Does a fox can breathe underwater?,No
64,A fox can breathe underwater.,No
65,A fox can breathe in the water.,No
66,Does a labrador live underwater?,No
67,A labrador lives underwater.,No
68,A labrador lives in the water.,No
69,Does a labrador can breathe underwater?,No
70,A labrador can breathe underwater.,No
71,A labrador can breathe in the water.,No
72,Does a pinscher live underwater?,No
73,A pinscher lives underwater.,No
74,A pinscher lives in the water.,No
75,Does a pinscher can breathe underwater?,No
76,A pinscher can breathe underwater.,No
77,A pinscher can breathe in the water.,No
78,Does a pomeranian live underwater?,No
79,A pomeranian lives underwater.,No
80,A pomeranian lives in the water.,No
81,Does a pomeranian can breathe underwater?,No
82,A pomeranian can breathe underwater.,No
83,A pomeranian can breathe in the water.,No
84,Does a schnauzer live underwater?,No
85,A schnauzer lives underwater.,No
86,A schnauzer lives in the water.,No
87,Does a schnauzer can breathe underwater?,No
88,A schnauzer can breathe underwater.,No
89,A schnauzer can breathe in the water.,No
90,Does a terrier live underwater?,No
91,A terrier lives underwater.,No
92,A terrier lives in the water.,No
93,Does a terrier can breathe underwater?,No
94,A terrier can breathe underwater.,No
95,A terrier can breathe in the water.,No
96,Does a wolf live underwater?,No
97,A wolf lives underwater.,No
98,A wolf lives in the water.,No
99,Does a wolf can breathe underwater?,No
100,A wolf can breathe underwater.,No
101,A wolf can breathe in the water.,No
102,Does a cat live underwater?,No
103,A cat lives underwater.,No
104,A cat lives in the water.,No
105,Does a cat can breathe underwater?,No
106,A cat can breathe underwater.,No
107,A cat can breathe in the water.,No
108,Does a caracal live underwater?,No
109,A caracal lives underwater.,No
110,A caracal lives in the water.,No
111,Does a caracal can breathe underwater?,No
112,A caracal can breathe underwater.,No
113,A caracal can breathe in the water.,No
114,Does a jaguar live underwater?,No
115,A jaguar lives underwater.,No
116,A jaguar lives in the water.,No
117,Does a jaguar can breathe underwater?,No
118,A jaguar can breathe underwater.,No
119,A jaguar can breathe in the water.,No
120,Does a liger live underwater?,No
121,A liger lives underwater.,No
122,A liger lives in the water.,No
123,Does a liger can breathe underwater?,No
124,A liger can breathe underwater.,No
125,A liger can breathe in the water.,No
126,Does a lion live underwater?,No
127,A lion lives underwater.,No
128,A lion lives in the water.,No
129,Does a lion can breathe underwater?,No
130,A lion can breathe underwater.,No
131,A lion can breathe in the water.,No
132,Does a leopard live underwater?,No
133,A leopard lives underwater.,No
134,A leopard lives in the water.,No
135,Does a leopard can breathe underwater?,No
136,A leopard can breathe underwater.,No
137,A leopard can breathe in the water.,No
138,Does a tiger live underwater?,No
139,A tiger lives underwater.,No
140,A tiger lives in the water.,No
141,Does a tiger can breathe underwater?,No
142,A tiger can breathe underwater.,No
143,A tiger can breathe in the water.,No
144,Does a beef live underwater?,No
145,A beef lives underwater.,No
146,A beef lives in the water.,No
147,Does a beef can breathe underwater?,No
148,A beef can breathe underwater.,No
149,A beef can breathe in the water.,No
150,Does a bull live underwater?,No
151,A bull lives underwater.,No
152,A bull lives in the water.,No
153,Does a bull can breathe underwater?,No
154,A bull can breathe underwater.,No
155,A bull can breathe in the water.,No
156,Does a cow live underwater?,No
157,A cow lives underwater.,No
158,A cow lives in the water.,No
159,Does a cow can breathe underwater?,No
160,A cow can breathe underwater.,No
161,A cow can breathe in the water.,No
162,Does a ox live underwater?,No
163,A ox lives underwater.,No
164,A ox lives in the water.,No
165,Does a ox can breathe underwater?,No
166,A ox can breathe underwater.,No
167,A ox can breathe in the water.,No
168,Does a turkey live underwater?,No
169,A turkey lives underwater.,No
170,A turkey lives in the water.,No
171,Does a turkey can breathe underwater?,No
172,A turkey can breathe underwater.,No
173,A turkey can breathe in the water.,No
174,Does a swan live underwater?,No
175,A swan lives underwater.,No
176,A swan lives in the water.,No
177,Does a swan can breathe underwater?,No
178,A swan can breathe underwater.,No
179,A swan can breathe in the water.,No
180,Does a sparrow live underwater?,No
181,A sparrow lives underwater.,No
182,A sparrow lives in the water.,No
183,Does a sparrow can breathe underwater?,No
184,A sparrow can breathe underwater.,No
185,A sparrow can breathe in the water.,No
186,Does a songbird live underwater?,No
187,A songbird lives underwater.,No
188,A songbird lives in the water.,No
189,Does a songbird can breathe underwater?,No
190,A songbird can breathe underwater.,No
191,A songbird can breathe in the water.,No
192,Does a roaster live underwater?,No
193,A roaster lives underwater.,No
194,A roaster lives in the water.,No
195,Does a roaster can breathe underwater?,No
196,A roaster can breathe underwater.,No
197,A roaster can breathe in the water.,No
198,Does a bird live underwater?,No
199,A bird lives underwater.,No
200,A bird lives in the water.,No
201,Does a bird can breathe underwater?,No
202,A bird can breathe underwater.,No
203,A bird can breathe in the water.,No
204,Does a eagle live underwater?,No
205,A eagle lives underwater.,No
206,A eagle lives in the water.,No
207,Does a eagle can breathe underwater?,No
208,A eagle can breathe underwater.,No
209,A eagle can breathe in the water.,No
210,Does a duck live underwater?,No
211,A duck lives underwater.,No
212,A duck lives in the water.,No
213,Does a duck can breathe underwater?,No
214,A duck can breathe underwater.,No
215,A duck can breathe in the water.,No
216,Does a chicken live underwater?,No
217,A chicken lives underwater.,No
218,A chicken lives in the water.,No
219,Does a chicken can breathe underwater?,No
220,A chicken can breathe underwater.,No
221,A chicken can breathe in the water.,No
222,Does a crow live underwater?,No
223,A crow lives underwater.,No
224,A crow lives in the water.,No
225,Does a crow can breathe underwater?,No
226,A crow can breathe underwater.,No
227,A crow can breathe in the water.,No
228,Does a dove live underwater?,No
229,A dove lives underwater.,No
230,A dove lives in the water.,No
231,Does a dove can breathe underwater?,No
232,A dove can breathe underwater.,No
233,A dove can breathe in the water.,No
234,Does a hen live underwater?,No
235,A hen lives underwater.,No
236,A hen lives in the water.,No
237,Does a hen can breathe underwater?,No
238,A hen can breathe underwater.,No
239,A hen can breathe in the water.,No
240,Does a jay live underwater?,No
241,A jay lives underwater.,No
242,A jay lives in the water.,No
243,Does a jay can breathe underwater?,No
244,A jay can breathe underwater.,No
245,A jay can breathe in the water.,No
246,Does a owl live underwater?,No
247,A owl lives underwater.,No
248,A owl lives in the water.,No
249,Does a owl can breathe underwater?,No
250,A owl can breathe underwater.,No
251,A owl can breathe in the water.,No
252,Does a rhino live underwater?,No
253,A rhino lives underwater.,No
254,A rhino lives in the water.,No
255,Does a rhino can breathe underwater?,No
256,A rhino can breathe underwater.,No
257,A rhino can breathe in the water.,No
258,Does a elephant live underwater?,No
259,A elephant lives underwater.,No
260,A elephant lives in the water.,No
261,Does a elephant can breathe underwater?,No
262,A elephant can breathe underwater.,No
263,A elephant can breathe in the water.,No
264,Does a bat live underwater?,No
265,A bat lives underwater.,No
266,A bat lives in the water.,No
267,Does a bat can breathe underwater?,No
268,A bat can breathe underwater.,No
269,A bat can breathe in the water.,No
270,Does a bear live underwater?,No
271,A bear lives underwater.,No
272,A bear lives in the water.,No
273,Does a bear can breathe underwater?,No
274,A bear can breathe underwater.,No
275,A bear can breathe in the water.,No
276,Does a camel live underwater?,No
277,A camel lives underwater.,No
278,A camel lives in the water.,No
279,Does a camel can breathe underwater?,No
280,A camel can breathe underwater.,No
281,A camel can breathe in the water.,No
282,Does a deer live underwater?,No
283,A deer lives underwater.,No
284,A deer lives in the water.,No
285,Does a deer can breathe underwater?,No
286,A deer can breathe underwater.,No
287,A deer can breathe in the water.,No
288,Does a flamingo live underwater?,No
289,A flamingo lives underwater.,No
290,A flamingo lives in the water.,No
291,Does a flamingo can breathe underwater?,No
292,A flamingo can breathe underwater.,No
293,A flamingo can breathe in the water.,No
294,Does a goat live underwater?,No
295,A goat lives underwater.,No
296,A goat lives in the water.,No
297,Does a goat can breathe underwater?,No
298,A goat can breathe underwater.,No
299,A goat can breathe in the water.,No
300,Does a gorilla live underwater?,No
301,A gorilla lives underwater.,No
302,A gorilla lives in the water.,No
303,Does a gorilla can breathe underwater?,No
304,A gorilla can breathe underwater.,No
305,A gorilla can breathe in the water.,No
306,Does a horse live underwater?,No
307,A horse lives underwater.,No
308,A horse lives in the water.,No
309,Does a horse can breathe underwater?,No
310,A horse can breathe underwater.,No
311,A horse can breathe in the water.,No
312,Does a hippo live underwater?,No
313,A hippo lives underwater.,No
314,A hippo lives in the water.,No
