entity,Is <entity> an animal product?,Is <entity> dairy?,Is <entity> meat?,Is <entity> a vegetable?,Is <entity> a fruit?,Is <entity> alcoholic?,Is <entity> liquid?,Is <entity> a grain?,Is <entity> a cold beverage?,Is <entity> a hot beverage?,Is <entity> a dessert?,Is <entity> a spice?
butter,1,1,0,0,0,0,0,0,0,0,0,0
cheese,1,1,0,0,0,0,0,0,0,0,0,0
cream,0,1,0,0,0,0,0,0,0,0,0,0
milk,1,1,0,0,0,0,1,0,1,0,0,0
yogurt,0,1,0,0,0,0,0,0,0,0,0,0
brie,0,1,0,0,0,0,0,0,0,0,0,0
camembert,0,1,0,0,0,0,0,0,0,0,0,0
cheddar,0,1,0,0,0,0,0,0,0,0,0,0
cottage cheese,0,1,0,0,0,0,0,0,0,0,0,0
cream cheese,0,1,0,0,0,0,0,0,0,0,0,0
gouda,0,1,0,0,0,0,0,0,0,0,0,0
mozzarella,0,1,0,0,0,0,0,0,0,0,0,0
parmesan,0,1,0,0,0,0,0,0,0,0,0,0
ricotta,0,1,0,0,0,0,0,0,0,0,0,0
ghee,0,1,0,0,0,0,0,0,0,0,0,0
beef,0,0,1,0,0,0,0,0,0,0,0,0
lamb,1,0,1,0,0,0,0,0,0,0,0,0
pork,1,0,1,0,0,0,0,0,0,0,0,0
sausage,0,0,1,0,0,0,0,0,0,0,0,0
veal,1,0,1,0,0,0,0,0,0,0,0,0
rib,1,0,1,0,0,0,0,0,0,0,0,0
steak,1,0,1,0,0,0,0,0,0,0,0,0
salami,0,0,1,0,0,0,0,0,0,0,0,0
chorizo,0,0,1,0,0,0,0,0,0,0,0,0
turkey,1,0,1,0,0,0,0,0,0,0,0,0
short rib,1,0,1,0,0,0,0,0,0,0,0,0
bacon,1,0,1,0,0,0,0,0,0,0,0,0
ham,1,0,1,0,0,0,0,0,0,0,0,0
chicken liver,1,0,1,0,0,0,0,0,0,0,0,0
chicken breast,1,0,1,0,0,0,0,0,0,0,0,0
artichoke,0,0,0,1,0,0,0,0,0,0,0,0
asparagus,0,0,0,1,0,0,0,0,0,0,0,0
broccoli,0,0,0,1,0,0,0,0,0,0,0,0
cabbage,0,0,0,1,0,0,0,0,0,0,0,0
carrot,0,0,0,1,0,0,0,0,0,0,0,0
cauliflower,0,0,0,1,0,0,0,0,0,0,0,0
celery,0,0,0,1,0,0,0,0,0,0,0,0
chili,0,0,0,1,0,0,0,0,0,0,0,0
eggplant,0,0,0,1,0,0,0,0,0,0,0,0
jalapeno,0,0,0,1,0,0,0,0,0,0,0,0
kale,0,0,0,1,0,0,0,0,0,0,0,0
kohlrabi,0,0,0,1,0,0,0,0,0,0,0,0
leek,0,0,0,1,0,0,0,0,0,0,0,0
lettuce,0,0,0,1,0,0,0,0,0,0,0,0
onion,0,0,0,1,0,0,0,0,0,0,0,0
potato,0,0,0,1,0,0,0,0,0,0,0,0
radish,0,0,0,1,0,0,0,0,0,0,0,0
shallot,0,0,0,1,0,0,0,0,0,0,0,0
spinach,0,0,0,1,0,0,0,0,0,0,0,0
tomato,0,0,0,1,0,0,0,0,0,0,0,0
zucchini,0,0,0,1,0,0,0,0,0,0,0,0
cucumber,0,0,0,1,0,0,0,0,0,0,0,0
apple,0,0,0,0,1,0,0,0,0,0,0,0
apricot,0,0,0,0,1,0,0,0,0,0,0,0
avocado,0,0,0,0,1,0,0,0,0,0,0,0
banana,0,0,0,0,1,0,0,0,0,0,0,0
berry,0,0,0,0,1,0,0,0,0,0,0,0
blackberry,0,0,0,0,1,0,0,0,0,0,0,0
blueberry,0,0,0,0,1,0,0,0,0,0,0,0
cherry,0,0,0,0,1,0,0,0,0,0,0,0
citron,0,0,0,0,1,0,0,0,0,0,0,0
fig,0,0,0,0,1,0,0,0,0,0,0,0
grape,0,0,0,0,1,0,0,0,0,0,0,0
grapefruit,0,0,0,0,1,0,0,0,0,0,0,0
guava,0,0,0,0,1,0,0,0,0,0,0,0
kiwi,0,0,0,0,1,0,0,0,0,0,0,0
