entity,Does a <entity> have legs?,Is a <entity> used for storage?,Is a <entity> electrical?,Is a <entity> used for sitting?,Can a <entity> be found in a kitchen?,Can a <entity> be found in a bedroom?,Can a <entity> be found in a living room?,Can a <entity> be found in a bathroom?,Is a <entity> used for cooking?
bed,1,0,0,0,0,1,0,0,0
chair,1,0,0,1,1,1,1,0,0
couch,1,0,0,1,0,1,1,0,0
cradle,1,0,0,0,0,1,0,0,0
desk,1,0,0,0,0,1,1,0,0
dresser,1,1,0,0,0,1,0,0,0
lamp,0,0,1,0,1,1,1,1,0
armchair,1,0,0,1,0,1,1,0,0
sofa,1,0,0,1,0,0,1,0,0
stool,1,0,0,1,1,0,1,0,0
table,1,0,0,0,1,1,1,0,0
closet,0,1,0,0,0,1,0,0,0
dishwasher,0,0,1,0,1,0,0,0,0
refrigerator,0,1,1,0,1,0,0,0,0
oven,0,0,1,0,1,0,0,0,1
microwave oven,0,0,1,0,1,0,0,0,1
stove,0,0,1,0,1,0,0,0,1
food processor,0,0,1,0,1,0,0,0,1
pot,0,0,0,0,1,0,0,0,1
pan,0,0,0,0,1,0,0,0,1
plate,0,0,0,0,1,0,0,0,0
knife,0,0,0,0,1,0,0,0,1
fork,0,0,0,0,1,0,0,0,1
spoon,0,0,0,0,1,0,0,0,1
spatula,0,0,0,0,1,0,0,0,1
kettle,0,0,0,0,1,0,0,0,1
rug,0,0,0,0,0,1,1,1,0
television,0,0,1,0,1,1,1,0,0
pillow,0,0,0,0,0,1,1,0,0
blanket,0,0,0,0,0,1,0,0,0
toilet,0,0,0,0,0,0,0,1,0
bath,0,0,0,0,0,0,0,1,0
shower,0,0,0,0,0,0,0,1,0
sink,0,0,0,0,1,0,0,1,0
towel,0,0,0,0,1,0,0,1,0
air conditioner,0,0,0,0,1,1,1,1,0
