,animal,accuracy,yes_count,no_count
0,flamingo,1.00,4,0
1,turkey,0.00,0,4
2,swan,1.00,4,0
3,sparrow,0.75,3,1
4,songbird,0.75,3,1
5,bird,1.00,4,0
6,eagle,1.00,9,0
7,duck,0.75,3,1
8,chicken,0.50,2,2
9,crow,1.00,4,0
10,dove,0.00,0,4
11,hen,0.75,3,1
12,jay,0.75,3,1
13,owl,1.00,4,0
14,parrot,0.75,3,1
15,peacock,0.75,3,1
16,pigeon,0.75,3,1
17,hummingbird,0.75,3,1
18,ostrich,0.75,3,1
19,falcon,1.00,4,0
20,goose,0.75,3,1
21,stork,0.75,3,1
22,gull,1.00,4,0
23,seabird,1.00,4,0
24,albatrosses,1.00,4,0
25,macaw,0.75,3,1
26,heron,0.25,1,3
27,bald eagle,1.00,4,0
28,vulture,0.75,3,1
29,wader,0.50,2,2
