,animal,accuracy,yes_count,no_count
0,corgi,0.50,2,2
1,beagle,0.00,4,0
2,boxer,1.00,0,4
3,bulldog,0.50,2,2
4,dog,0.75,1,3
5,chihuahua,1.00,0,4
6,collie,0.25,3,1
7,dalmatian,0.00,4,0
8,doberman,0.75,1,3
9,fox,0.00,4,0
10,labrador,1.00,0,4
11,pinscher,0.75,1,3
12,pomeranian,1.00,0,4
13,schnauzer,0.00,4,0
14,terrier,0.50,2,2
15,wolf,0.25,3,1
16,cat,0.25,3,1
17,caracal,0.50,2,2
18,jaguar,0.25,3,1
19,liger,0.50,2,2
20,lion,0.00,4,0
21,leopard,0.25,3,1
22,tiger,0.50,2,2
23,beef,1.00,0,4
24,bull,0.25,3,1
25,cow,0.75,1,3
26,ox,0.25,3,1
27,rhino,0.00,4,0
28,elephant,0.75,1,3
29,bear,0.25,3,1
30,camel,1.00,0,4
31,deer,1.00,0,4
32,goat,0.25,3,1
33,gorilla,0.25,3,1
34,horse,1.00,0,4
35,hippopotamus,0.75,1,3
36,iguana,1.00,0,4
37,koala,0.25,3,1
38,kangaroo,1.00,0,4
39,lizard,0.25,3,1
40,monkey,0.25,3,1
41,mule,1.00,0,4
42,pig,0.50,2,2
43,rabbit,0.50,2,2
44,rat,0.50,2,2
45,sheep,1.00,0,4
46,zebra,0.25,3,1
47,worm,0.25,3,1
48,snail,0.25,3,1
49,giraffe,0.00,4,0
50,tarantula,0.25,3,1
51,spider,0.25,3,1
52,boa,0.25,3,1
53,cobra,0.25,3,1
54,mamba,0.25,3,1
55,baboon,0.25,3,1
56,grivet,0.75,1,3
57,aardvark,1.00,0,4
58,mouse,0.25,3,1
59,bison,0.75,1,3
60,ass,1.00,0,4
61,antelope,0.25,3,1
62,ant,0.25,3,1
63,caterpillar,0.25,3,1
64,shrew,0.50,2,2
65,raccoon,0.00,4,0
66,quail,0.25,3,1
67,husky,0.25,3,1
68,skunk,0.00,4,0
69,ape,0.25,3,1
70,alpaca,0.25,3,1
71,donkey,0.50,2,2
72,moose,0.00,4,0
73,alligator,0.25,3,1
74,crocodile,0.25,3,1
75,snake,0.25,3,1
76,frog,0.00,4,0
77,salamander,0.25,3,1
78,gibbon,0.00,4,0
79,hyena,0.75,1,3
80,rottweiler,0.25,3,1
81,squirrel,0.25,3,1
82,tapir,0.25,3,1
83,yak,0.25,3,1
84,fish,0.25,3,1
85,shark,0.00,4,0
86,tuna,0.25,3,1
87,jellyfish,0.25,3,1
88,salmon,0.50,2,2
89,octupus,0.50,2,2
90,barracuda,1.00,0,4
91,codfish,0.75,1,3
92,crab,0.25,3,1
93,cuttlefish,0.25,3,1
94,dolphin,0.00,4,0
95,eel,1.00,0,4
96,gar,1.00,0,4
97,herring,1.00,0,4
98,kingfisher,0.25,3,1
99,lobster,0.75,1,3
100,oyster,0.50,2,2
101,puma,1.00,0,4
102,piranha,0.50,2,2
103,seal,0.25,3,1
104,shrimp,0.25,3,1
105,prawn,0.25,3,1
106,starfish,0.00,4,0
107,sponge,0.25,3,1
108,whale,0.25,3,1
