,animal,accuracy,yes_count,no_count
0,zebra,0.75,1,3
1,yak,0.00,4,0
2,worm,0.00,4,0
3,wolf,0.00,4,0
4,whale,0.00,4,0
5,tuna,0.00,4,0
6,tiger,0.00,4,0
7,terrier,0.25,3,1
8,tarantula,0.00,4,0
9,tapir,0.00,4,0
10,starfish,0.00,4,0
11,squirrel,0.00,4,0
12,sponge,0.00,4,0
13,spider,0.00,4,0
14,snake,0.00,4,0
15,snail,0.00,4,0
16,skunk,0.00,4,0
17,shrimp,0.00,4,0
18,shrew,0.00,4,0
19,sheep,0.00,4,0
20,shark,0.00,4,0
21,seal,0.00,4,0
22,schnauzer,0.00,4,0
23,salmon,0.00,4,0
24,salamander,0.00,4,0
25,rottweiler,0.50,2,2
26,rhino,0.00,4,0
27,rat,0.00,4,0
28,raccoon,0.00,4,0
29,rabbit,0.00,4,0
30,puma,0.00,4,0
31,prawn,0.00,4,0
32,pomeranian,0.25,3,1
33,piranha,0.00,4,0
34,pinscher,0.00,4,0
35,pig,0.00,4,0
36,oyster,0.00,4,0
37,ox,0.00,4,0
38,octupus,0.00,4,0
39,mule,0.00,4,0
40,mouse,0.00,4,0
41,moose,0.00,4,0
42,monkey,0.00,4,0
43,mamba,0.00,4,0
44,lobster,0.00,4,0
45,lizard,0.00,4,0
46,lion,0.00,4,0
47,liger,0.50,2,2
48,leopard,0.00,4,0
49,labrador,0.25,3,1
50,koala,0.00,4,0
51,kangaroo,0.25,3,1
52,jellyfish,0.00,4,0
53,jaguar,0.25,3,1
54,iguana,0.50,2,2
55,hyena,0.50,2,2
56,husky,0.00,4,0
57,horse,0.00,4,0
58,hippopotamus,0.00,4,0
59,herring,0.00,4,0
60,grivet,0.00,4,0
61,gorilla,0.00,4,0
62,goat,0.00,4,0
63,giraffe,0.00,4,0
64,gibbon,0.00,4,0
65,gar,0.00,4,0
66,frog,0.00,4,0
67,fox,0.00,4,0
68,fish,0.00,4,0
69,elephant,0.00,4,0
70,eel,0.00,4,0
71,donkey,0.00,4,0
72,dolphin,0.00,4,0
73,dog,0.00,4,0
74,doberman,0.00,4,0
75,deer,0.00,4,0
76,dalmatian,0.00,4,0
77,crocodile,0.00,4,0
78,crab,0.00,4,0
79,cow,0.00,4,0
80,corgi,0.25,3,1
81,collie,0.00,4,0
82,codfish,0.00,4,0
83,cocker spaniel,0.25,3,1
84,cobra,0.25,3,1
85,chihuahua,0.75,1,3
86,caterpillar,0.00,4,0
87,cat,0.00,4,0
88,caracal,0.00,4,0
89,camel,0.00,4,0
90,bulldog,0.25,3,1
91,bull,0.00,4,0
92,boxer,0.50,2,2
93,boa,0.50,2,2
94,bison,0.00,4,0
95,beef,0.00,4,0
96,bear,0.00,4,0
97,beagle,0.00,4,0
98,barracuda,0.00,4,0
99,baboon,0.00,4,0
100,ass,0.00,4,0
101,ape,0.00,4,0
102,antelope,0.00,4,0
103,ant,0.00,4,0
104,alpaca,0.00,4,0
105,alligator,0.00,4,0
106,aardvark,0.00,4,0
