,question,model_answer,true_answer
0,a cat has fins.,No,No
1,a swan has fins.,Yes,No
2,a monkey has fins.,No,No
3,a bear has fins.,No,No
4,a wolf has fins.,No,No
5,does a bear have fins?,No,No
6,does a horse have fins?,Yes,No
7,does a lion have fins?,Yes,No
8,does a rhino have fins?,No,No
9,a rhino has fins.,No,No
10,a elephant has fins.,No,No
11,does a fox have fins?,Yes,No
12,a cow has fins.,No,No
13,does a bird have fins?,Yes,No
14,does a swan have fins?,Yes,No
15,does a cow have fins?,No,No
16,a ox has fins.,Yes,No
17,a tiger has fins.,No,No
18,a horse has fins.,No,No
19,does a eagle have fins?,Yes,No
20,does a cat have fins?,No,No
21,a lion has fins.,Yes,No
22,does a ox have fins?,Yes,No
23,does a monkey have fins?,No,No
24,does a dog have fins?,No,No
25,does a wolf have fins?,No,No
26,does a snake have fins?,No,No
27,does a donkey have fins?,Yes,No
28,does a elephant have fins?,No,No
29,a bird has fins.,Yes,No
30,does a tiger have fins?,Yes,No
31,a snake has fins.,No,No
32,a donkey has fins.,Yes,No
33,a fox has fins.,Yes,No
34,a eagle has fins.,Yes,No
35,a dog has fins.,No,No
