,animal,accuracy,yes_count,no_count
0,corgi,0.25,3,1
1,beagle,0.25,3,1
2,boxer,0.50,2,2
3,bulldog,0.75,1,3
4,dog,1.00,0,4
5,chihuahua,1.00,0,4
6,cocker spaniel,0.50,2,2
7,collie,0.50,2,2
8,dalmatian,0.50,2,2
9,doberman,0.50,2,2
10,fox,0.50,2,2
11,labrador,0.75,1,3
12,pinscher,0.75,1,3
13,pomeranian,0.75,1,3
14,schnauzer,1.00,0,4
15,terrier,0.50,2,2
16,wolf,0.50,2,2
17,cat,1.00,0,4
18,caracal,0.25,3,1
19,jaguar,0.50,2,2
20,liger,0.50,2,2
21,lion,0.50,2,2
22,leopard,0.50,2,2
23,tiger,0.50,2,2
24,beef,1.00,0,4
25,bull,0.50,2,2
26,cow,0.50,2,2
27,ox,0.50,2,2
28,turkey,1.00,0,4
29,swan,0.25,3,1
30,sparrow,0.25,3,1
31,songbird,0.75,1,3
32,roaster,1.00,0,4
33,bird,0.50,2,2
34,eagle,0.25,3,1
35,duck,0.50,2,2
36,chicken,0.50,2,2
37,crow,0.25,3,1
38,dove,0.50,2,2
39,hen,0.25,3,1
40,jay,0.50,2,2
41,owl,0.50,2,2
42,rhino,0.25,3,1
43,elephant,0.50,2,2
44,bat,0.50,2,2
45,bear,0.50,2,2
46,camel,0.50,2,2
47,deer,0.50,2,2
48,flamingo,0.25,3,1
49,goat,0.50,2,2
50,gorilla,0.50,2,2
51,horse,0.75,1,3
52,hippopotamus,0.75,1,3
53,iguana,0.50,2,2
54,koala,0.75,1,3
55,kangaroo,1.00,0,4
56,lizard,0.50,2,2
57,monkey,0.50,2,2
58,mule,1.00,0,4
59,parrot,0.50,2,2
60,penguin,0.50,2,2
61,pig,0.50,2,2
62,peacock,0.50,2,2
63,pigeon,0.25,3,1
64,rabbit,0.50,2,2
65,rat,0.50,2,2
66,sheep,0.75,1,3
67,zebra,0.50,2,2
68,hummingbird,0.50,2,2
69,ostrich,1.00,0,4
70,worm,0.50,2,2
71,snail,0.50,2,2
72,butterfly,0.50,2,2
73,giraffe,0.25,3,1
74,tarantula,0.25,3,1
75,spider,0.50,2,2
76,boa,1.00,0,4
77,cobra,0.75,1,3
78,mamba,0.25,3,1
79,baboon,1.00,0,4
80,grivet,0.25,3,1
81,cockatoo,0.50,2,2
82,aardvark,1.00,0,4
83,mouse,0.50,2,2
84,bison,0.75,1,3
85,ass,0.25,3,1
86,antelope,0.50,2,2
87,ant,0.50,2,2
88,caterpillar,0.25,3,1
89,hawk,0.50,2,2
90,shrew,0.50,2,2
91,raccoon,1.00,0,4
92,quail,0.25,3,1
93,husky,0.25,3,1
94,skunk,0.50,2,2
95,cuckoos,0.25,3,1
96,ape,0.25,3,1
97,alpaca,0.75,1,3
98,donkey,0.50,2,2
99,moose,0.50,2,2
100,alligator,0.50,2,2
101,crocodile,0.25,3,1
102,seagull,0.50,2,2
103,pelican,0.50,2,2
104,snake,0.25,3,1
105,frog,0.25,3,1
106,salamander,0.75,1,3
107,falcon,0.50,2,2
108,gibbon,0.50,2,2
109,hyena,1.00,0,4
110,rottweiler,0.75,1,3
111,squirrel,0.50,2,2
112,tapir,0.50,2,2
113,yak,0.75,1,3
