,animal,accuracy,yes_count,no_count
16,alligator,1,0,4
29,codfish,1,0,4
30,crab,1,0,4
36,kingfisher,1,0,4
42,shrimp,1,0,4
46,whale,1,0,4
47,turkey,1,0,4
51,roaster,1,0,4
68,seagull,1,0,4
6,pig,0.75,1,3
11,boa,0.75,1,3
20,salamander,0.75,1,3
26,salmon,0.75,1,3
28,barracuda,0.75,1,3
38,oyster,0.75,1,3
41,seal,0.75,1,3
52,bird,0.75,1,3
69,pelican,0.75,1,3
3,hippopotamus,0.5,2,2
5,lizard,0.5,2,2
21,tapir,0.5,2,2
23,shark,0.5,2,2
25,jellyfish,0.5,2,2
40,piranha,0.5,2,2
44,starfish,0.5,2,2
55,chicken,0.5,2,2
67,cuckoos,0.5,2,2
0,rhino,0.25,3,1
1,elephant,0.25,3,1
4,iguana,0.25,3,1
12,cobra,0.25,3,1
13,mamba,0.25,3,1
14,ant,0.25,3,1
17,crocodile,0.25,3,1
31,cuttlefish,0.25,3,1
32,dolphin,0.25,3,1
33,eel,0.25,3,1
39,puma,0.25,3,1
62,peacock,0.25,3,1
2,flamingo,0,4,0
7,worm,0,4,0
8,snail,0,4,0
9,tarantula,0,4,0
10,spider,0,4,0
15,caterpillar,0,4,0
18,snake,0,4,0
19,frog,0,4,0
22,fish,0,4,0
24,tuna,0,4,0
27,octupus,0,4,0
34,gar,0,4,0
35,herring,0,4,0
37,lobster,0,4,0
43,prawn,0,4,0
45,sponge,0,4,0
48,swan,0,4,0
49,sparrow,0,4,0
50,songbird,0,4,0
53,eagle,0,4,0
54,duck,0,4,0
56,crow,0,4,0
57,dove,0,4,0
58,hen,0,4,0
59,jay,0,4,0
60,owl,0,4,0
61,parrot,0,4,0
63,pigeon,0,4,0
64,hummingbird,0,4,0
65,ostrich,0,4,0
66,butterfly,0,4,0
