,animal,accuracy,yes_count,no_count
0,corgi,1.00,0,4
1,beagle,0.25,3,1
2,boxer,1.00,0,4
3,bulldog,1.00,0,4
4,dog,1.00,0,4
5,chihuahua,1.00,0,4
6,collie,1.00,0,4
7,dalmatian,1.00,0,4
8,doberman,1.00,0,4
9,fox,1.00,0,4
10,labrador,1.00,0,4
11,pinscher,1.00,0,4
12,pomeranian,1.00,0,4
13,schnauzer,1.00,0,4
14,terrier,1.00,0,4
15,wolf,1.00,0,4
16,cat,1.00,0,4
17,caracal,0.00,4,0
18,jaguar,1.00,0,4
19,liger,1.00,0,4
20,lion,0.50,2,2
21,leopard,1.00,0,4
22,tiger,1.00,0,4
23,beef,1.00,0,4
24,bull,0.75,1,3
25,cow,1.00,0,4
26,ox,0.25,3,1
27,turkey,1.00,0,4
28,swan,1.00,0,4
29,sparrow,1.00,0,4
30,songbird,1.00,0,4
31,bird,1.00,0,4
32,eagle,0.50,2,2
33,duck,1.00,0,4
34,chicken,1.00,0,4
35,crow,1.00,0,4
36,dove,1.00,0,4
37,hen,1.00,0,4
38,jay,1.00,0,4
39,owl,1.00,0,4
40,rhino,1.00,0,4
41,elephant,0.75,1,3
42,bat,1.00,0,4
43,bear,1.00,0,4
44,camel,1.00,0,4
45,deer,0.75,1,3
46,flamingo,1.00,0,4
47,goat,1.00,0,4
48,gorilla,1.00,0,4
49,horse,0.25,3,1
50,hippopotamus,1.00,0,4
51,iguana,1.00,0,4
52,koala,0.75,1,3
53,kangaroo,1.00,0,4
54,lizard,1.00,0,4
55,monkey,1.00,0,4
56,mule,1.00,0,4
57,parrot,1.00,0,4
58,penguin,1.00,0,4
59,pig,1.00,0,4
60,peacock,1.00,0,4
61,pigeon,1.00,0,4
62,rabbit,1.00,0,4
63,rat,1.00,0,4
64,sheep,0.75,1,3
65,zebra,1.00,0,4
66,hummingbird,1.00,0,4
67,ostrich,1.00,0,4
68,worm,1.00,0,4
69,snail,0.50,2,2
70,butterfly,1.00,0,4
71,giraffe,1.00,0,4
72,tarantula,1.00,0,4
73,spider,1.00,0,4
74,boa,1.00,0,4
75,cobra,1.00,0,4
76,mamba,0.50,2,2
77,baboon,1.00,0,4
78,grivet,1.00,0,4
79,cockatoo,1.00,0,4
80,aardvark,1.00,0,4
81,mouse,1.00,0,4
82,bison,1.00,0,4
83,ass,1.00,0,4
84,antelope,1.00,0,4
85,ant,1.00,0,4
86,caterpillar,1.00,0,4
87,hawk,1.00,0,4
88,shrew,0.75,1,3
89,raccoon,1.00,0,4
90,quail,0.25,3,1
91,husky,1.00,0,4
92,skunk,0.50,2,2
93,cuckoos,1.00,0,4
94,ape,1.00,0,4
95,alpaca,0.50,2,2
96,donkey,1.00,0,4
97,moose,1.00,0,4
98,alligator,1.00,0,4
99,crocodile,0.50,2,2
100,seagull,0.75,1,3
101,pelican,1.00,0,4
102,snake,0.50,2,2
103,frog,1.00,0,4
104,salamander,0.75,1,3
105,falcon,0.75,1,3
106,gibbon,1.00,0,4
107,hyena,1.00,0,4
108,rottweiler,1.00,0,4
109,squirrel,1.00,0,4
110,tapir,1.00,0,4
111,yak,1.00,0,4
