,animal,accuracy,yes_count,no_count
0,corgi,0.17,5,1
1,beagle,0.67,2,4
2,boxer,1.00,0,6
3,bulldog,1.00,0,6
4,dog,1.00,0,6
5,chihuahua,1.00,0,6
6,collie,0.83,1,5
7,dalmatian,0.00,6,0
8,doberman,0.00,6,0
9,fox,1.00,0,6
10,labrador,1.00,0,6
11,pinscher,1.00,0,6
12,pomeranian,0.00,6,0
13,schnauzer,1.00,0,6
14,terrier,1.00,0,6
15,wolf,1.00,0,6
16,cat,0.83,1,5
17,caracal,0.00,6,0
18,jaguar,0.00,6,0
19,liger,1.00,0,6
20,lion,0.00,6,0
21,leopard,1.00,0,6
22,tiger,1.00,0,6
23,beef,1.00,0,6
24,bull,1.00,0,6
25,cow,1.00,0,6
26,ox,0.33,4,2
27,turkey,1.00,0,6
28,swan,0.00,6,0
29,sparrow,0.33,4,2
30,songbird,1.00,0,6
31,bird,0.00,6,0
32,eagle,0.67,2,4
33,duck,0.67,2,4
34,chicken,1.00,0,6
35,crow,0.00,6,0
36,dove,0.83,1,5
37,hen,1.00,0,6
38,jay,0.00,6,0
39,owl,0.33,4,2
40,rhino,1.00,0,6
41,elephant,0.83,1,5
42,bat,1.00,0,6
43,bear,1.00,0,6
44,camel,0.50,3,3
45,deer,1.00,0,6
46,flamingo,0.33,4,2
47,goat,1.00,0,6
48,gorilla,1.00,0,6
49,horse,1.00,0,6
50,hippopotamus,1.00,0,6
51,iguana,0.33,4,2
52,koala,0.00,6,0
53,kangaroo,1.00,0,6
54,lizard,0.00,6,0
55,monkey,0.33,4,2
56,mule,0.00,6,0
57,parrot,1.00,0,6
58,penguin,0.00,6,0
59,pig,1.00,0,6
60,peacock,0.83,1,5
61,pigeon,0.33,4,2
62,rabbit,1.00,0,6
63,rat,0.50,3,3
64,sheep,0.83,1,5
65,zebra,1.00,0,6
66,hummingbird,0.67,2,4
67,ostrich,1.00,0,6
68,worm,0.00,6,0
69,snail,0.00,6,0
70,butterfly,0.00,6,0
71,giraffe,1.00,0,6
72,tarantula,0.17,5,1
73,spider,0.67,2,4
74,boa,0.17,5,1
75,cobra,1.00,0,6
76,mamba,0.00,6,0
77,baboon,0.50,3,3
78,grivet,1.00,0,6
79,cockatoo,0.83,1,5
80,aardvark,0.50,3,3
81,mouse,0.67,2,4
82,bison,1.00,0,6
83,ass,0.83,1,5
84,antelope,1.00,0,6
85,ant,0.00,6,0
86,caterpillar,0.67,2,4
87,hawk,0.83,1,5
88,shrew,0.00,6,0
89,raccoon,0.67,2,4
90,quail,0.00,6,0
91,husky,0.83,1,5
92,skunk,0.00,6,0
93,cuckoos,0.17,5,1
94,ape,0.00,6,0
95,alpaca,0.00,6,0
96,donkey,1.00,0,6
97,moose,1.00,0,6
98,alligator,0.17,5,1
99,crocodile,0.17,5,1
100,seagull,0.00,6,0
101,pelican,0.00,6,0
102,snake,0.17,5,1
103,frog,0.17,5,1
104,salamander,0.17,5,1
105,falcon,0.00,6,0
106,gibbon,0.00,6,0
107,hyena,0.67,2,4
108,rottweiler,1.00,0,6
109,squirrel,1.00,0,6
110,tapir,0.00,6,0
111,yak,0.00,6,0
