,animal,accuracy,yes_count,no_count
106,squirrel,0.86,2,12
11,hen,0.71,4,10
27,dog,0.71,4,10
51,rhino,0.71,4,10
70,sheep,0.71,4,10
76,spider,0.71,4,10
100,snake,0.71,4,10
34,labrador,0.64,5,9
6,eagle,0.57,6,8
45,leopard,0.57,6,8
68,rabbit,0.57,6,8
19,butterfly,0.5,7,7
47,beef,0.5,7,7
73,snail,0.5,7,7
128,seal,0.5,7,7
4,roaster,0.43,8,6
8,chicken,0.43,8,6
44,lion,0.43,8,6
72,worm,0.43,8,6
98,alligator,0.43,8,6
101,frog,0.43,8,6
105,rottweiler,0.43,8,6
5,bird,0.36,9,5
25,boxer,0.36,9,5
26,bulldog,0.36,9,5
52,elephant,0.36,9,5
57,goat,0.36,9,5
59,horse,0.36,9,5
65,monkey,0.36,9,5
67,pig,0.36,9,5
88,caterpillar,0.36,9,5
129,shrimp,0.36,9,5
132,sponge,0.36,9,5
3,songbird,0.29,10,4
7,duck,0.29,10,4
14,parrot,0.29,10,4
16,pigeon,0.29,10,4
24,beagle,0.29,10,4
49,cow,0.29,10,4
86,antelope,0.29,10,4
131,starfish,0.29,10,4
0,turkey,0.21,11,3
2,sparrow,0.21,11,3
17,hummingbird,0.21,11,3
18,ostrich,0.21,11,3
21,seagull,0.21,11,3
36,pomeranian,0.21,11,3
48,bull,0.21,11,3
53,bear,0.21,11,3
91,quail,0.21,11,3
94,ape,0.21,11,3
99,crocodile,0.21,11,3
113,salmon,0.21,11,3
1,swan,0.14,12,2
10,dove,0.14,12,2
15,peacock,0.14,12,2
38,terrier,0.14,12,2
43,liger,0.14,12,2
54,camel,0.14,12,2
63,kangaroo,0.14,12,2
80,baboon,0.14,12,2
84,bison,0.14,12,2
85,ass,0.14,12,2
90,raccoon,0.14,12,2
95,alpaca,0.14,12,2
97,moose,0.14,12,2
102,salamander,0.14,12,2
104,hyena,0.14,12,2
111,tuna,0.14,12,2
116,codfish,0.14,12,2
117,crab,0.14,12,2
122,herring,0.14,12,2
123,kingfisher,0.14,12,2
20,cuckoos,0.07,13,1
28,chihuahua,0.07,13,1
33,fox,0.07,13,1
40,cat,0.07,13,1
46,tiger,0.07,13,1
50,ox,0.07,13,1
55,deer,0.07,13,1
58,gorilla,0.07,13,1
60,hippopotamus,0.07,13,1
69,rat,0.07,13,1
74,giraffe,0.07,13,1
81,grivet,0.07,13,1
82,aardvark,0.07,13,1
83,mouse,0.07,13,1
87,ant,0.07,13,1
89,shrew,0.07,13,1
108,yak,0.07,13,1
110,shark,0.07,13,1
125,oyster,0.07,13,1
126,puma,0.07,13,1
127,piranha,0.07,13,1
130,prawn,0.07,13,1
133,whale,0.07,13,1
9,crow,0,14,0
12,jay,0,14,0
13,owl,0,14,0
22,pelican,0,14,0
23,corgi,0,14,0
29,cocker spaniel,0,14,0
30,collie,0,14,0
31,dalmatian,0,14,0
32,doberman,0,14,0
35,pinscher,0,14,0
37,schnauzer,0,14,0
39,wolf,0,14,0
41,caracal,0,14,0
42,jaguar,0,14,0
56,flamingo,0,14,0
61,iguana,0,14,0
62,koala,0,14,0
64,lizard,0,14,0
66,mule,0,14,0
71,zebra,0,14,0
75,tarantula,0,14,0
77,boa,0,14,0
78,cobra,0,14,0
79,mamba,0,14,0
92,husky,0,14,0
93,skunk,0,14,0
96,donkey,0,14,0
103,gibbon,0,14,0
107,tapir,0,14,0
109,fish,0,14,0
112,jellyfish,0,14,0
114,octupus,0,14,0
115,barracuda,0,14,0
118,cuttlefish,0,14,0
119,dolphin,0,14,0
120,eel,0,14,0
121,gar,0,14,0
124,lobster,0,14,0
