,question,model_answer,true_answer
0,a swan has fins,Yes,No
1,does a bat have wings,Yes,Yes
2,does a whitefish fly,No,No
3,a garfish can be found underwater,Yes,Yes
4,a shark flies,Yes,No
5,does a finch live underwater,Yes,No
6,a peacock lives underwater,No,No
7,does a pelican have fins,Yes,No
8,does a dove have wings,Yes,Yes
9,does a seabird live underwater,Yes,No
10,a godwit has wings,No,Yes
11,a wader can be found underwater,No,No
12,does a cotinga fly,No,Yes
13,a buri swims,No,Yes
14,does a owl live underwater,Yes,No
15,a cuttlefish has a fin,Yes,Yes
16,a porgy is capable of swimming,Yes,Yes
17,a albatrosses has a beak,No,Yes
18,a salmon has a wing,No,No
19,can a pangasius swim,No,Yes
20,a yellowfin lives underwater,No,Yes
21,does a carpione fly,No,No
22,does a piranha fly,No,No
23,can a bird swim,Yes,No
24,does a brambling have a fin,No,No
25,a hornbill flies,Yes,Yes
26,does a fish have wings,No,No
27,a cowbird has a fin,Yes,No
28,a shark can be found in the water,Yes,Yes
29,does a goldcrest fly,No,Yes
30,a pomfret has a wing,No,No
31,a cotinga lives in the water,No,No
32,does a lark have a beak,Yes,Yes
33,a carpione can be found underwater,No,Yes
34,a dolphin has a wing,No,No
35,a falcon has wings,Yes,Yes
36,a ling flies,No,No
37,does a cuttlefish have a wing,No,No
38,can a sparrow fly,Yes,Yes
39,does a pangasius live in the water,No,Yes
40,a flatfish lives underwater,Yes,Yes
41,does a bluefish live in the water,Yes,Yes
42,a porpoise swims,Yes,Yes
43,does a buri have fins,No,Yes
44,a spearfish has a fin,Yes,Yes
45,does a lark live in the water,Yes,No
46,can a avocet fly,Yes,Yes
47,a codfish lives underwater,Yes,Yes
48,a brambling lives underwater,No,No
49,a cuttlefish has a beak,Yes,No
50,does a stork have fins,No,No
51,a pigeon can be found in the water,No,No
52,a albatrosses can be found in the water,Yes,No
53,a whale can be found in the water,Yes,Yes
54,a flamingo has a fin,Yes,No
55,a mullet swims,No,Yes
56,does a heron live underwater,Yes,No
57,can a albatrosses swim,Yes,No
58,does a jay live underwater,Yes,No
