,animal,accuracy,yes_count,no_count
1,turkey,1,4,0
2,swan,1,4,0
3,sparrow,1,4,0
4,songbird,1,4,0
6,bird,1,4,0
7,eagle,1,8,0
8,duck,1,4,0
9,chicken,1,4,0
10,crow,1,4,0
11,dove,1,4,0
12,hen,1,4,0
13,jay,1,4,0
14,owl,1,4,0
15,parrot,1,4,0
16,peacock,1,4,0
17,pigeon,1,4,0
18,hummingbird,1,4,0
19,ostrich,1,4,0
20,falcon,1,4,0
21,goose,1,4,0
22,stork,1,4,0
23,gull,1,4,0
25,seabird,1,4,0
27,macaw,1,4,0
28,heron,1,4,0
29,bald eagle,1,4,0
30,vulture,1,4,0
31,wader,1,4,0
5,roaster,0.5,2,2
0,flamingo,0.25,1,3
24,toco toucan,0.25,1,3
26,albatrosses,0.25,1,3
