,animal,accuracy,yes_count,no_count
0,flamingo,1.00,4,0
1,turkey,0.75,3,1
2,swan,0.75,3,1
3,sparrow,0.75,3,1
4,songbird,0.75,3,1
5,roaster,0.00,0,4
6,bird,0.75,3,1
7,eagle,0.88,7,1
8,duck,0.75,3,1
9,chicken,1.00,4,0
10,crow,1.00,4,0
11,dove,0.75,3,1
12,hen,1.00,4,0
13,jay,0.25,1,3
14,owl,0.75,3,1
15,parrot,1.00,4,0
16,peacock,0.75,3,1
17,pigeon,1.00,4,0
18,hummingbird,0.75,3,1
19,ostrich,1.00,4,0
20,falcon,1.00,4,0
21,goose,0.75,3,1
22,stork,0.75,3,1
23,gull,0.75,3,1
24,toco toucan,0.00,0,4
25,seabird,0.75,3,1
26,albatrosses,0.50,2,2
27,macaw,1.00,4,0
28,heron,1.00,4,0
29,bald eagle,0.75,3,1
30,vulture,1.00,4,0
31,wader,1.00,4,0
