,animal,accuracy,yes_count,no_count
0,corgi,0.25,1,3
1,beagle,1.00,4,0
2,boxer,0.25,1,3
3,bulldog,0.75,3,1
4,dog,1.00,4,0
5,chihuahua,0.00,0,4
6,cocker spaniel,0.50,2,2
7,collie,1.00,4,0
8,dalmatian,0.00,0,4
9,doberman,0.00,0,4
10,fox,1.00,4,0
11,labrador,0.50,2,2
12,pinscher,0.75,3,1
13,pomeranian,0.50,2,2
14,schnauzer,0.75,3,1
15,terrier,1.00,4,0
16,wolf,1.00,4,0
17,cat,1.00,4,0
18,caracal,1.00,4,0
19,jaguar,0.75,3,1
20,liger,0.50,2,2
21,lion,1.00,4,0
22,leopard,1.00,4,0
23,tiger,0.75,3,1
24,bear,0.75,3,1
25,camel,0.50,2,2
26,deer,1.00,4,0
27,gorilla,0.75,3,1
28,horse,1.00,4,0
29,koala,0.25,1,3
30,kangaroo,0.00,0,4
31,monkey,0.50,2,2
32,mule,0.50,2,2
33,rabbit,1.00,4,0
34,rat,1.00,4,0
35,zebra,0.50,2,2
36,giraffe,1.00,4,0
37,baboon,0.75,3,1
38,mouse,0.50,2,2
39,bison,0.75,3,1
40,ass,0.50,2,2
41,antelope,0.75,3,1
42,raccoon,1.00,4,0
43,husky,1.00,4,0
44,skunk,0.50,2,2
45,ape,1.00,4,0
46,alpaca,0.75,3,1
47,donkey,0.50,2,2
48,moose,1.00,4,0
49,hyena,0.25,1,3
50,rottweiler,0.50,2,2
51,squirrel,1.00,4,0
52,yak,1.00,4,0
