,animal,accuracy,yes_count,no_count
0,corgi,0.25,1,3
1,beagle,1.00,4,0
2,boxer,0.25,1,3
3,bulldog,0.75,3,1
4,dog,1.00,4,0
5,chihuahua,0.00,0,4
6,collie,1.00,4,0
7,dalmatian,0.50,2,2
8,doberman,0.75,3,1
9,fox,0.75,3,1
10,labrador,0.00,0,4
11,pinscher,1.00,4,0
12,pomeranian,0.25,1,3
13,schnauzer,0.50,2,2
14,terrier,1.00,4,0
15,wolf,0.25,1,3
16,cat,1.00,4,0
17,caracal,1.00,4,0
18,jaguar,1.00,4,0
19,liger,0.00,0,4
20,lion,1.00,4,0
21,leopard,1.00,4,0
22,tiger,0.00,0,4
23,bear,1.00,4,0
24,camel,0.50,2,2
25,deer,1.00,4,0
26,gorilla,0.25,1,3
27,horse,1.00,4,0
28,koala,0.25,1,3
29,kangaroo,0.00,0,4
30,monkey,0.75,3,1
31,mule,1.00,4,0
32,rabbit,1.00,4,0
33,rat,0.00,0,4
34,zebra,0.00,0,4
35,giraffe,0.75,3,1
36,baboon,1.00,4,0
37,mouse,0.00,0,4
38,bison,0.50,2,2
39,ass,0.50,2,2
40,antelope,0.50,2,2
41,raccoon,0.50,2,2
42,husky,1.00,4,0
43,skunk,1.00,4,0
44,ape,1.00,4,0
45,alpaca,0.25,1,3
46,donkey,0.50,2,2
47,moose,0.00,0,4
48,hyena,0.75,3,1
49,rottweiler,0.00,0,4
50,squirrel,1.00,4,0
51,yak,0.25,1,3
