,animal,accuracy,yes_count,no_count
0,deer,1.00,4,0
1,cattle,1.00,4,0
2,goat,0.83,10,2
3,sheep,1.00,8,0
4,antelope,1.00,4,0
5,moose,1.00,4,0
6,bighorn sheep,1.00,4,0
7,oryx,1.00,4,0
8,goat,0.83,10,2
9,mountain goat,1.00,4,0
10,markhor,0.00,0,4
11,addax,1.00,4,0
12,rhino,1.00,4,0
13,eland,0.25,1,3
14,ibex,0.75,3,1
15,blackbuck,1.00,4,0
16,kudu,0.00,0,4
17,reindeer,0.75,3,1
18,bharal,0.50,2,2
19,mounflon,0.75,3,1
20,yak,0.50,2,2
21,bison,0.25,1,3
22,ox,1.00,4,0
23,cow,1.00,4,0
24,impala,0.75,3,1
25,wildbeest,0.75,3,1
26,buffalo,0.75,3,1
27,springbox,0.25,1,3
28,elk,0.75,3,1
