,animal,accuracy,yes_count,no_count
0,flamingo,1.00,6,0
1,turkey,0.33,2,4
2,swan,0.83,5,1
3,sparrow,0.67,4,2
4,songbird,1.00,6,0
5,roaster,0.00,0,6
6,bird,1.00,6,0
7,eagle,0.75,9,3
8,duck,0.67,4,2
9,chicken,1.00,6,0
10,crow,1.00,6,0
11,dove,0.83,5,1
12,hen,0.83,5,1
13,jay,0.50,3,3
14,owl,0.67,4,2
15,parrot,0.67,4,2
16,peacock,0.33,2,4
17,pigeon,0.67,4,2
18,hummingbird,1.00,6,0
19,ostrich,0.67,4,2
20,falcon,0.83,5,1
21,goose,0.50,3,3
22,stork,0.33,2,4
23,gull,0.50,3,3
24,toco toucan,0.00,0,6
25,seabird,1.00,6,0
26,albatrosses,0.33,2,4
27,macaw,0.33,2,4
28,heron,0.67,4,2
29,bald eagle,0.50,3,3
30,vulture,0.50,3,3
31,wader,1.00,6,0
