,question,model_answer,true_answer
0,A boa lives in the water.,Yes,No
1,A bison lives in the water.,No,No
2,A duck can breathe underwater.,Yes,No
3,Does a crow can breathe underwater?,Yes,No
4,A bat lives in the water.,No,No
5,A worm lives underwater.,Yes,No
6,A caterpillar can breathe in the water.,Yes,No
7,A turkey can breathe underwater.,No,No
8,Does a iguana can breathe underwater?,Yes,No
9,A Aardvark lives in the water.,No,No
10,Does a skunk can breathe underwater?,Yes,No
11,A leopard can breathe in the water.,No,No
12,A dove can breathe underwater.,Yes,No
13,Does a duck live underwater?,Yes,No
14,A sheep can breathe in the water.,Yes,No
15,A hawk lives in the water.,No,No
16,A chihuahua can breathe underwater.,No,No
17,Does a baboon live underwater?,Yes,No
18,Does a camel live underwater?,Yes,No
19,Does a husky can breathe underwater?,Yes,No
20,A hen can breathe underwater.,No,No
21,A hen lives in the water.,No,No
22,Does a skunk live underwater?,Yes,No
23,A caracal can breathe underwater.,Yes,No
24,A snail lives in the water.,Yes,No
25,Does a pomeranian can breathe underwater?,Yes,No
26,A Aardvark can breathe in the water.,No,No
27,A grivet can breathe in the water.,No,No
28,Does a raccoon can breathe underwater?,Yes,No
29,A terrier can breathe in the water.,No,No
30,A penguin can breathe in the water.,Yes,No
31,A horse can breathe underwater.,No,No
32,A penguin lives underwater.,Yes,No
33,A bird can breathe in the water.,Yes,No
34,Does a snail live underwater?,Yes,No
35,A bear lives underwater.,No,No
36,A bull can breathe underwater.,No,No
37,A cockatoo can breathe underwater.,Yes,No
38,A skunk lives underwater.,Yes,No
39,Does a ass can breathe underwater?,Yes,No
40,A parrot lives underwater.,No,No
41,A raccoon can breathe underwater.,Yes,No
42,Does a tarantula can breathe underwater?,Yes,No
43,A rabbit lives in the water.,No,No
44,A horse lives underwater.,No,No
45,Does a giraffe live underwater?,No,No
46,Does a collie live underwater?,Yes,No
47,A dove lives underwater.,No,No
48,A tarantula lives in the water.,No,No
49,Does a caterpillar can breathe underwater?,Yes,No
50,Does a sheep live underwater?,No,No
51,A jaguar lives in the water.,No,No
52,A camel lives in the water.,No,No
53,A bird lives underwater.,Yes,No
54,Does a labrador live underwater?,No,No
55,A peacock lives in the water.,No,No
56,A snail can breathe underwater.,Yes,No
57,Does a rat live underwater?,Yes,No
58,A kangaroo can breathe in the water.,No,No
59,A peacock lives underwater.,No,No
60,A corgi lives in the water.,No,No
61,A rat lives in the water.,No,No
62,A liger can breathe in the water.,No,No
63,Does a swan live underwater?,Yes,No
64,Does a owl can breathe underwater?,Yes,No
65,Does a mouse live underwater?,Yes,No
66,Does a pomeranian live underwater?,Yes,No
67,A liger lives underwater.,No,No
68,A gorilla can breathe underwater.,No,No
69,Does a cobra live underwater?,No,No
70,Does a chicken can breathe underwater?,No,No
71,A shrew lives underwater.,Yes,No
72,A elephant can breathe underwater.,Yes,No
73,A doberman lives in the water.,Yes,No
74,A raccoon lives underwater.,Yes,No
75,Does a rhino can breathe underwater?,Yes,No
76,A dog lives in the water.,No,No
77,A ox lives in the water.,No,No
78,A moose can breathe underwater.,No,No
79,Does a hummingbird can breathe underwater?,Yes,No
80,A terrier can breathe underwater.,No,No
81,Does a dalmatian can breathe underwater?,Yes,No
82,Does a mule live underwater?,Yes,No
83,A mule lives in the water.,Yes,No
84,A donkey can breathe in the water.,No,No
85,A bear lives in the water.,No,No
86,A dalmatian can breathe in the water.,Yes,No
87,Does a bull can breathe underwater?,No,No
88,A baboon lives in the water.,No,No
89,A beef can breathe underwater.,No,No
90,A cocker spaniel lives in the water.,No,No
91,A parrot can breathe underwater.,No,No
92,A caterpillar can breathe underwater.,Yes,No
93,A owl lives underwater.,Yes,No
94,A hummingbird lives in the water.,No,No
95,Does a dog live underwater?,No,No
96,Does a dove can breathe underwater?,Yes,No
97,Does a dove live underwater?,Yes,No
98,A alpaca lives in the water.,No,No
99,Does a rabbit live underwater?,No,No
100,A ass lives in the water.,No,No
101,A lizard lives in the water.,Yes,No
102,Does a bird can breathe underwater?,Yes,No
103,Does a pig can breathe underwater?,No,No
104,A peacock can breathe underwater.,Yes,No
105,A shrew can breathe in the water.,Yes,No
106,A schnauzer lives in the water.,No,No
107,Does a lion live underwater?,Yes,No
108,A boa can breathe in the water.,Yes,No
109,Does a jaguar can breathe underwater?,Yes,No
110,A dalmatian can breathe underwater.,Yes,No
111,A songbird can breathe in the water.,No,No
112,Does a terrier can breathe underwater?,No,No
113,A lizard can breathe in the water.,Yes,No
114,A ostrich lives underwater.,No,No
115,A cow can breathe underwater.,No,No
116,A quail can breathe underwater.,Yes,No
117,Does a owl live underwater?,Yes,No
118,Does a quail live underwater?,Yes,No
119,A roaster lives in the water.,No,No
120,A monkey can breathe underwater.,Yes,No
121,Does a bulldog can breathe underwater?,No,No
122,A butterfly lives in the water.,Yes,No
123,A cockatoo can breathe in the water.,No,No
124,A songbird lives underwater.,No,No
125,A baboon can breathe in the water.,Yes,No
126,A pig lives underwater.,No,No
127,A doberman can breathe in the water.,Yes,No
128,A cobra can breathe underwater.,No,No
129,Does a gorilla can breathe underwater?,No,No
130,A beagle can breathe underwater.,No,No
131,A pig can breathe in the water.,No,No
132,Does a worm live underwater?,Yes,No
133,A crow can breathe underwater.,Yes,No
134,A owl can breathe in the water.,Yes,No
135,A koala lives in the water.,Yes,No
136,Does a cuckoos can breathe underwater?,Yes,No
137,A kangaroo lives in the water.,No,No
138,A hummingbird can breathe underwater.,Yes,No
139,Does a iguana live underwater?,Yes,No
140,Does a caracal can breathe underwater?,Yes,No
141,A rhino can breathe in the water.,Yes,No
142,A baboon can breathe underwater.,Yes,No
