,animal,accuracy,yes_count,no_count
2,boxer,1,0,6
3,bulldog,1,0,6
5,chihuahua,1,0,6
6,cocker spaniel,1,0,6
10,fox,1,0,6
11,labrador,1,0,6
12,pinscher,1,0,6
14,schnauzer,1,0,6
15,terrier,1,0,6
20,liger,1,0,6
22,leopard,1,0,6
23,tiger,1,0,6
24,beef,1,0,6
25,bull,1,0,6
28,turkey,1,0,6
32,roaster,1,0,6
36,chicken,1,0,6
39,hen,1,0,6
44,bat,1,0,6
45,bear,1,0,6
47,deer,1,0,6
49,goat,1,0,6
50,gorilla,1,0,6
51,horse,1,0,6
52,hippo,1,0,6
55,kangaroo,1,0,6
59,parrot,1,0,6
61,pig,1,0,6
64,rabbit,1,0,6
69,ostrich,1,0,6
73,giraffe,1,0,6
77,cobra,1,0,6
80,grivet,1,0,6
84,bison,1,0,6
86,antelope,1,0,6
89,hawk,1,0,6
98,donkey,1,0,6
99,moose,1,0,6
4,dog,0.83,1,5
16,wolf,0.83,1,5
26,cow,0.83,1,5
31,songbird,0.83,1,5
34,eagle,0.83,1,5
1,beagle,0.67,2,4
7,collie,0.67,2,4
46,camel,0.67,2,4
66,sheep,0.67,2,4
67,zebra,0.67,2,4
85,ass,0.67,2,4
0,corgi,0.5,3,3
27,ox,0.5,3,3
38,dove,0.5,3,3
42,rhino,0.5,3,3
62,peacock,0.5,3,3
74,tarantula,0.5,3,3
81,cockatoo,0.5,3,3
82,Aardvark,0.5,3,3
93,husky,0.5,3,3
95,cuckoos,0.5,3,3
19,jaguar,0.33,4,2
21,lion,0.33,4,2
30,sparrow,0.33,4,2
43,elephant,0.33,4,2
48,flamingo,0.33,4,2
63,pigeon,0.33,4,2
65,rat,0.33,4,2
68,hummingbird,0.33,4,2
75,spider,0.33,4,2
78,mamba,0.33,4,2
79,baboon,0.33,4,2
83,mouse,0.33,4,2
87,ant,0.33,4,2
91,raccoon,0.33,4,2
17,cat,0.17,5,1
18,caracal,0.17,5,1
37,crow,0.17,5,1
40,jay,0.17,5,1
41,owl,0.17,5,1
53,iguana,0.17,5,1
57,monkey,0.17,5,1
96,ape,0.17,5,1
97,alpaca,0.17,5,1
8,dalmatian,0,6,0
9,doberman,0,6,0
13,pomeranian,0,6,0
29,swan,0,6,0
33,bird,0,6,0
35,duck,0,6,0
54,koala,0,6,0
56,lizard,0,6,0
58,mule,0,6,0
60,penguin,0,6,0
70,worm,0,6,0
71,snail,0,6,0
72,butterfly,0,6,0
76,boa,0,6,0
88,caterpillar,0,6,0
90,shrew,0,6,0
92,quail,0,6,0
94,skunk,0,6,0
