,question,label
0,does a bean fly?,No
1,can a bean fly?,No
2,a bean flys.,No
3,is a bean capable of flying?,No
4,a bean is capable of flying.,No
5,does a bean live underwater?,No
6,a bean lives underwater.,No
7,does a bean live in the water?,No
8,a bean lives in the water.,No
9,does a bean have a beak?,No
10,a bean has a beak.,No
11,does a bean have feathers?,No
12,a bean has feathers.,No
13,does a bean have wings?,No
14,a bean has wings.,No
15,does a bean have a wing?,No
16,a bean has a wing.,No
17,does a bean have horns?,No
18,a bean has horns.,No
19,does a bean have hair?,No
20,a bean has hair.,No
21,does a bean have fur?,No
22,a bean has fur.,No
23,does a beet fly?,No
24,can a beet fly?,No
25,a beet flys.,No
26,is a beet capable of flying?,No
27,a beet is capable of flying.,No
28,does a beet live underwater?,No
29,a beet lives underwater.,No
30,does a beet live in the water?,No
31,a beet lives in the water.,No
32,does a beet have a beak?,No
33,a beet has a beak.,No
34,does a beet have feathers?,No
35,a beet has feathers.,No
36,does a beet have wings?,No
37,a beet has wings.,No
38,does a beet have a wing?,No
39,a beet has a wing.,No
40,does a beet have horns?,No
41,a beet has horns.,No
42,does a beet have hair?,No
43,a beet has hair.,No
44,does a beet have fur?,No
45,a beet has fur.,No
46,does a beetroot fly?,No
47,can a beetroot fly?,No
48,a beetroot flys.,No
49,is a beetroot capable of flying?,No
50,a beetroot is capable of flying.,No
51,does a beetroot live underwater?,No
52,a beetroot lives underwater.,No
53,does a beetroot live in the water?,No
54,a beetroot lives in the water.,No
55,does a beetroot have a beak?,No
56,a beetroot has a beak.,No
57,does a beetroot have feathers?,No
58,a beetroot has feathers.,No
59,does a beetroot have wings?,No
60,a beetroot has wings.,No
61,does a beetroot have a wing?,No
62,a beetroot has a wing.,No
63,does a beetroot have horns?,No
64,a beetroot has horns.,No
65,does a beetroot have hair?,No
66,a beetroot has hair.,No
67,does a beetroot have fur?,No
68,a beetroot has fur.,No
69,does a broccoli fly?,No
70,can a broccoli fly?,No
71,a broccoli flys.,No
72,is a broccoli capable of flying?,No
73,a broccoli is capable of flying.,No
74,does a broccoli live underwater?,No
75,a broccoli lives underwater.,No
76,does a broccoli live in the water?,No
77,a broccoli lives in the water.,No
78,does a broccoli have a beak?,No
79,a broccoli has a beak.,No
80,does a broccoli have feathers?,No
81,a broccoli has feathers.,No
82,does a broccoli have wings?,No
83,a broccoli has wings.,No
84,does a broccoli have a wing?,No
85,a broccoli has a wing.,No
86,does a broccoli have horns?,No
87,a broccoli has horns.,No
88,does a broccoli have hair?,No
89,a broccoli has hair.,No
90,does a broccoli have fur?,No
91,a broccoli has fur.,No
92,does a cabbage fly?,No
93,can a cabbage fly?,No
94,a cabbage flys.,No
95,is a cabbage capable of flying?,No
96,a cabbage is capable of flying.,No
97,does a cabbage live underwater?,No
98,a cabbage lives underwater.,No
99,does a cabbage live in the water?,No
100,a cabbage lives in the water.,No
101,does a cabbage have a beak?,No
102,a cabbage has a beak.,No
103,does a cabbage have feathers?,No
104,a cabbage has feathers.,No
105,does a cabbage have wings?,No
106,a cabbage has wings.,No
107,does a cabbage have a wing?,No
108,a cabbage has a wing.,No
109,does a cabbage have horns?,No
110,a cabbage has horns.,No
111,does a cabbage have hair?,No
112,a cabbage has hair.,No
113,does a cabbage have fur?,No
114,a cabbage has fur.,No
115,does a carrot fly?,No
116,can a carrot fly?,No
117,a carrot flys.,No
118,is a carrot capable of flying?,No
119,a carrot is capable of flying.,No
120,does a carrot live underwater?,No
121,a carrot lives underwater.,No
122,does a carrot live in the water?,No
123,a carrot lives in the water.,No
124,does a carrot have a beak?,No
125,a carrot has a beak.,No
126,does a carrot have feathers?,No
127,a carrot has feathers.,No
128,does a carrot have wings?,No
129,a carrot has wings.,No
130,does a carrot have a wing?,No
131,a carrot has a wing.,No
132,does a carrot have horns?,No
133,a carrot has horns.,No
134,does a carrot have hair?,No
135,a carrot has hair.,No
136,does a carrot have fur?,No
137,a carrot has fur.,No
138,does a cauliflower fly?,No
139,can a cauliflower fly?,No
140,a cauliflower flys.,No
141,is a cauliflower capable of flying?,No
142,a cauliflower is capable of flying.,No
143,does a cauliflower live underwater?,No
144,a cauliflower lives underwater.,No
145,does a cauliflower live in the water?,No
146,a cauliflower lives in the water.,No
147,does a cauliflower have a beak?,No
148,a cauliflower has a beak.,No
149,does a cauliflower have feathers?,No
150,a cauliflower has feathers.,No
151,does a cauliflower have wings?,No
152,a cauliflower has wings.,No
153,does a cauliflower have a wing?,No
154,a cauliflower has a wing.,No
155,does a cauliflower have horns?,No
156,a cauliflower has horns.,No
157,does a cauliflower have hair?,No
158,a cauliflower has hair.,No
159,does a cauliflower have fur?,No
160,a cauliflower has fur.,No
161,does a chili fly?,No
162,can a chili fly?,No
163,a chili flys.,No
164,is a chili capable of flying?,No
165,a chili is capable of flying.,No
166,does a chili live underwater?,No
167,a chili lives underwater.,No
168,does a chili live in the water?,No
169,a chili lives in the water.,No
170,does a chili have a beak?,No
171,a chili has a beak.,No
172,does a chili have feathers?,No
173,a chili has feathers.,No
174,does a chili have wings?,No
175,a chili has wings.,No
176,does a chili have a wing?,No
177,a chili has a wing.,No
178,does a chili have horns?,No
179,a chili has horns.,No
180,does a chili have hair?,No
181,a chili has hair.,No
182,does a chili have fur?,No
183,a chili has fur.,No
184,does a cushaw fly?,No
185,can a cushaw fly?,No
186,a cushaw flys.,No
187,is a cushaw capable of flying?,No
188,a cushaw is capable of flying.,No
189,does a cushaw live underwater?,No
190,a cushaw lives underwater.,No
191,does a cushaw live in the water?,No
192,a cushaw lives in the water.,No
193,does a cushaw have a beak?,No
194,a cushaw has a beak.,No
195,does a cushaw have feathers?,No
196,a cushaw has feathers.,No
197,does a cushaw have wings?,No
198,a cushaw has wings.,No
199,does a cushaw have a wing?,No
200,a cushaw has a wing.,No
201,does a cushaw have horns?,No
202,a cushaw has horns.,No
203,does a cushaw have hair?,No
204,a cushaw has hair.,No
205,does a cushaw have fur?,No
206,a cushaw has fur.,No
207,does a eggplant fly?,No
208,can a eggplant fly?,No
209,a eggplant flys.,No
210,is a eggplant capable of flying?,No
211,a eggplant is capable of flying.,No
212,does a eggplant live underwater?,No
213,a eggplant lives underwater.,No
214,does a eggplant live in the water?,No
215,a eggplant lives in the water.,No
216,does a eggplant have a beak?,No
217,a eggplant has a beak.,No
218,does a eggplant have feathers?,No
219,a eggplant has feathers.,No
220,does a eggplant have wings?,No
221,a eggplant has wings.,No
222,does a eggplant have a wing?,No
223,a eggplant has a wing.,No
224,does a eggplant have horns?,No
225,a eggplant has horns.,No
226,does a eggplant have hair?,No
227,a eggplant has hair.,No
228,does a eggplant have fur?,No
229,a eggplant has fur.,No
230,does a jalapeno fly?,No
231,can a jalapeno fly?,No
232,a jalapeno flys.,No
233,is a jalapeno capable of flying?,No
234,a jalapeno is capable of flying.,No
235,does a jalapeno live underwater?,No
236,a jalapeno lives underwater.,No
237,does a jalapeno live in the water?,No
238,a jalapeno lives in the water.,No
239,does a jalapeno have a beak?,No
240,a jalapeno has a beak.,No
241,does a jalapeno have feathers?,No
242,a jalapeno has feathers.,No
243,does a jalapeno have wings?,No
244,a jalapeno has wings.,No
245,does a jalapeno have a wing?,No
246,a jalapeno has a wing.,No
247,does a jalapeno have horns?,No
248,a jalapeno has horns.,No
249,does a jalapeno have hair?,No
250,a jalapeno has hair.,No
251,does a jalapeno have fur?,No
252,a jalapeno has fur.,No
253,does a kale fly?,No
254,can a kale fly?,No
255,a kale flys.,No
256,is a kale capable of flying?,No
257,a kale is capable of flying.,No
258,does a kale live underwater?,No
259,a kale lives underwater.,No
260,does a kale live in the water?,No
261,a kale lives in the water.,No
262,does a kale have a beak?,No
263,a kale has a beak.,No
264,does a kale have feathers?,No
265,a kale has feathers.,No
266,does a kale have wings?,No
267,a kale has wings.,No
268,does a kale have a wing?,No
269,a kale has a wing.,No
270,does a kale have horns?,No
271,a kale has horns.,No
272,does a kale have hair?,No
273,a kale has hair.,No
274,does a kale have fur?,No
275,a kale has fur.,No
276,does a kohlrabi fly?,No
277,can a kohlrabi fly?,No
278,a kohlrabi flys.,No
279,is a kohlrabi capable of flying?,No
280,a kohlrabi is capable of flying.,No
281,does a kohlrabi live underwater?,No
282,a kohlrabi lives underwater.,No
283,does a kohlrabi live in the water?,No
284,a kohlrabi lives in the water.,No
285,does a kohlrabi have a beak?,No
286,a kohlrabi has a beak.,No
287,does a kohlrabi have feathers?,No
288,a kohlrabi has feathers.,No
289,does a kohlrabi have wings?,No
290,a kohlrabi has wings.,No
291,does a kohlrabi have a wing?,No
292,a kohlrabi has a wing.,No
293,does a kohlrabi have horns?,No
